,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,ROCANCEL,3,ROCANCEL,4,1,0,aliceblue
1,,VBELN,3,VBELN,4,1,1,aliceblue
2,,POSNR,3,POSNR,4,1,2,aliceblue
3,,AEDAT,3,AEDAT,4,1,3,aliceblue
4,,BUKRS,3,BUKRS,4,1,4,aliceblue
5,,BZIRK,3,BZIRK,4,1,5,aliceblue
6,,FKART,3,FKART,4,1,6,aliceblue
7,,FKDAT,3,FKDAT,4,1,7,aliceblue
8,,FKTYP,3,FKTYP,4,1,8,aliceblue
9,,HWAER,3,HWAER,4,1,9,aliceblue
10,,KDGRP,3,KDGRP,4,1,10,aliceblue
11,,KUNAG,3,KUNAG,4,1,11,aliceblue
12,,KUNRG,3,KUNRG,4,1,12,aliceblue
13,,KURRF,3,KURRF,4,1,13,aliceblue
14,,KURST,3,KURST,4,1,14,aliceblue
15,,STWAE,3,STWAE,4,1,15,aliceblue
16,,VBTYP,3,VBTYP,4,1,16,aliceblue
17,,VKORG,3,VKORG,4,1,17,aliceblue
18,,VTWEG,3,VTWEG,4,1,18,aliceblue
19,,WAERK,3,WAERK,4,1,19,aliceblue
20,,AKTNR,3,AKTNR,4,1,20,aliceblue
21,,AUBEL,3,AUBEL,4,1,21,aliceblue
22,,AUPOS,3,AUPOS,4,1,22,aliceblue
23,,BONBA,3,BONBA,4,1,23,aliceblue
24,,BONUS,3,BONUS,4,1,24,aliceblue
25,,BRGEW,3,BRGEW,4,1,25,aliceblue
26,,BRTWR,3,BRTWR,4,1,26,aliceblue
27,,BWAPPLNM,3,BWAPPLNM,4,1,27,aliceblue
28,,BWVORG,3,BWVORG,4,1,28,aliceblue
29,,CHARG,3,CHARG,4,1,29,aliceblue
30,,EAN11,3,EAN11,4,1,30,aliceblue
31,,ERDAT,3,ERDAT,4,1,31,aliceblue
32,,FAREG,3,FAREG,4,1,32,aliceblue
33,,FBUDA,3,FBUDA,4,1,33,aliceblue
34,,FKIMG,3,FKIMG,4,1,34,aliceblue
35,,FKLMG,3,FKLMG,4,1,35,aliceblue
36,,GEWEI,3,GEWEI,4,1,36,aliceblue
37,,KNUMA_AG,3,KNUMA_AG,4,1,37,aliceblue
38,,KOKRS,3,KOKRS,4,1,38,aliceblue
39,,KOSTL,3,KOSTL,4,1,39,aliceblue
40,,KURSK,3,KURSK,4,1,40,aliceblue
41,,KURSK_DAT,3,KURSK_DAT,4,1,41,aliceblue
42,,KVGR1,3,KVGR1,4,1,42,aliceblue
43,,KVGR2,3,KVGR2,4,1,43,aliceblue
44,,KVGR3,3,KVGR3,4,1,44,aliceblue
45,,KVGR4,3,KVGR4,4,1,45,aliceblue
46,,KVGR5,3,KVGR5,4,1,46,aliceblue
47,,KZWI1,3,KZWI1,4,1,47,aliceblue
48,,KZWI2,3,KZWI2,4,1,48,aliceblue
49,,KZWI3,3,KZWI3,4,1,49,aliceblue
50,,KZWI4,3,KZWI4,4,1,50,aliceblue
51,,KZWI5,3,KZWI5,4,1,51,aliceblue
52,,KZWI6,3,KZWI6,4,1,52,aliceblue
53,,LGORT,3,LGORT,4,1,53,aliceblue
54,,LMENG,3,LMENG,4,1,54,aliceblue
55,,MATKL,3,MATKL,4,1,55,aliceblue
56,,MATNR,3,MATNR,4,1,56,aliceblue
57,,MATWA,3,MATWA,4,1,57,aliceblue
58,,MEINS,3,MEINS,4,1,58,aliceblue
59,,MVGR1,3,MVGR1,4,1,59,aliceblue
60,,MVGR2,3,MVGR2,4,1,60,aliceblue
61,,MVGR3,3,MVGR3,4,1,61,aliceblue
62,,MVGR4,3,MVGR4,4,1,62,aliceblue
63,,MVGR5,3,MVGR5,4,1,63,aliceblue
64,,MWSBP,3,MWSBP,4,1,64,aliceblue
65,,NETWR,3,NETWR,4,1,65,aliceblue
66,,NTGEW,3,NTGEW,4,1,66,aliceblue
67,,PKUNRE,3,PKUNRE,4,1,67,aliceblue
68,,PKUNWE,3,PKUNWE,4,1,68,aliceblue
69,,POSAR,3,POSAR,4,1,69,aliceblue
70,,PRODH,3,PRODH,4,1,70,aliceblue
71,,PROVG,3,PROVG,4,1,71,aliceblue
72,,PRSDT,3,PRSDT,4,1,72,aliceblue
73,,PSTYV,3,PSTYV,4,1,73,aliceblue
74,,PVRTNR,3,PVRTNR,4,1,74,aliceblue
75,,PZPERS,3,PZPERS,4,1,75,aliceblue
76,,SKFBP,3,SKFBP,4,1,76,aliceblue
77,,SMENG,3,SMENG,4,1,77,aliceblue
78,,SPARA,3,SPARA,4,1,78,aliceblue
79,,SPART,3,SPART,4,1,79,aliceblue
80,,STADAT,3,STADAT,4,1,80,aliceblue
81,,STCUR,3,STCUR,4,1,81,aliceblue
82,,UMVKN,3,UMVKN,4,1,82,aliceblue
83,,UMVKZ,3,UMVKZ,4,1,83,aliceblue
84,,VDATU,3,VDATU,4,1,84,aliceblue
85,,VGBEL,3,VGBEL,4,1,85,aliceblue
86,,VGPOS,3,VGPOS,4,1,86,aliceblue
87,,VKBUR,3,VKBUR,4,1,87,aliceblue
88,,VKGRP,3,VKGRP,4,1,88,aliceblue
89,,VOLEH,3,VOLEH,4,1,89,aliceblue
90,,VOLUM,3,VOLUM,4,1,90,aliceblue
91,,VRKME,3,VRKME,4,1,91,aliceblue
92,,VSTEL,3,VSTEL,4,1,92,aliceblue
93,,WAVWR,3,WAVWR,4,1,93,aliceblue
94,,WERKS,3,WERKS,4,1,94,aliceblue
95,,PS_POSID,3,PS_POSID,4,1,95,aliceblue
96,,ANZFKPOS,3,ANZFKPOS,4,1,96,aliceblue
97,,PERIV,3,PERIV,4,1,97,aliceblue
98,,MCEX_APCAMPAIGN,3,MCEX_APCAMPAIGN,4,1,98,aliceblue
99,,BillingDocument,4,BillingDocument,5,1,99,aliceblue
100,,BillingDocumentItem,4,BillingDocumentItem,5,1,100,aliceblue
101,,BillingQuantityUnit,4,BillingQuantityUnit,5,1,101,aliceblue
102,,BillingToBaseQuantityNumrtr,4,BillingToBaseQuantityNumrtr,5,1,102,aliceblue
103,,BillingToBaseQuantityDnmntr,4,BillingToBaseQuantityDnmntr,5,1,103,aliceblue
104,,BaseUnit,4,BaseUnit,5,1,104,aliceblue
105,,ItemWeightUnit,4,ItemWeightUnit,5,1,105,aliceblue
106,,ItemVolumeUnit,4,ItemVolumeUnit,5,1,106,aliceblue
107,,PricingDate,4,PricingDate,5,1,107,aliceblue
108,,ServicesRenderedDate,4,ServicesRenderedDate,5,1,108,aliceblue
109,,PriceDetnExchangeRate,4,PriceDetnExchangeRate,5,1,109,aliceblue
110,,ReferenceSDDocument,4,ReferenceSDDocument,5,1,110,aliceblue
111,,SalesDocument,4,SalesDocument,5,1,111,aliceblue
112,,SalesDocumentItem,4,SalesDocumentItem,5,1,112,aliceblue
113,,Material,4,Material,5,1,113,aliceblue
114,,Batch,4,Batch,5,1,114,aliceblue
115,,MaterialGroup,4,MaterialGroup,5,1,115,aliceblue
116,,SalesDocumentItemCategory,4,SalesDocumentItemCategory,5,1,116,aliceblue
117,,SalesDocumentItemType,4,SalesDocumentItemType,5,1,117,aliceblue
118,,ProductHierarchyNode,4,ProductHierarchyNode,5,1,118,aliceblue
119,,VBTYP,4,VBTYP,5,1,119,aliceblue
