,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,BUKRS,8,BUKRS,10,1,0,aliceblue
1,,LAND1,8,LAND1,10,1,1,aliceblue
2,,WAERS,8,WAERS,10,1,2,aliceblue
3,,KTOPL,8,KTOPL,10,1,3,aliceblue
4,,KKBER,8,KKBER,10,1,4,aliceblue
5,,PERIV,8,PERIV,10,1,5,aliceblue
6,,RCOMP,8,RCOMP,10,1,6,aliceblue
7,,BUKRS,9,BUKRS,11,1,7,aliceblue
8,,TXTMD,9,TXTMD,11,1,8,aliceblue
9,,LANGU,9,LANGU,11,1,9,aliceblue
10,,BUKRS,10,BUKRS,12,1,10,aliceblue
11,,BUKRS,11,BUKRS,12,1,11,aliceblue
12,,LAND1,10,LAND1,12,1,12,aliceblue
13,,WAERS,10,WAERS,12,1,13,aliceblue
14,,KTOPL,10,KTOPL,12,1,14,aliceblue
15,,KKBER,10,KKBER,12,1,15,aliceblue
16,,PERIV,10,PERIV,12,1,16,aliceblue
17,,RCOMP,10,RCOMP,12,1,17,aliceblue
18,,TXTMD,11,TXTMD,12,1,18,aliceblue
19,,CompanyCode,12,CompanyCode,13,1,19,aliceblue
20,,Country,12,Country,13,1,20,aliceblue
21,,Currency,12,Currency,13,1,21,aliceblue
22,,ChartOfAccounts,12,ChartOfAccounts,13,1,22,aliceblue
23,,CreditControlArea,12,CreditControlArea,13,1,23,aliceblue
24,,FiscalYearVariant,12,FiscalYearVariant,13,1,24,aliceblue
25,,Company,12,Company,13,1,25,aliceblue
26,,CompanyCodeName,12,CompanyCodeName,13,1,26,aliceblue
