,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,MATNR,20,Material,23,1,0,aliceblue
1,,MTART,20,MaterialType,23,1,1,aliceblue
2,,MATKL,20,MaterialGroup,23,1,2,aliceblue
3,,MEINS,20,MaterialBaseUnit,23,1,3,aliceblue
4,,PRDHA,20,ProductHierarchy,23,1,4,aliceblue
5,,ATTYP,20,MaterialCategory,23,1,5,aliceblue
6,,ERSDA,20,ERSDA,23,1,6,aliceblue
7,,ERNAM,20,ERNAM,23,1,7,aliceblue
8,,LAEDA,20,LAEDA,23,1,8,aliceblue
9,,AENAM,20,AENAM,23,1,9,aliceblue
10,,VPSTA,20,VPSTA,23,1,10,aliceblue
11,,PSTAT,20,PSTAT,23,1,11,aliceblue
12,,LVORM,20,LVORM,23,1,12,aliceblue
13,,MBRSH,20,MBRSH,23,1,13,aliceblue
14,,BISMT,20,BISMT,23,1,14,aliceblue
15,,BSTME,20,BSTME,23,1,15,aliceblue
16,,ZEINR,20,ZEINR,23,1,16,aliceblue
17,,ZEIAR,20,ZEIAR,23,1,17,aliceblue
18,,ZEIVR,20,ZEIVR,23,1,18,aliceblue
19,,ZEIFO,20,ZEIFO,23,1,19,aliceblue
20,,AESZN,20,AESZN,23,1,20,aliceblue
21,,BLATT,20,BLATT,23,1,21,aliceblue
22,,BLANZ,20,BLANZ,23,1,22,aliceblue
23,,FERTH,20,FERTH,23,1,23,aliceblue
24,,FORMT,20,FORMT,23,1,24,aliceblue
25,,GROES,20,GROES,23,1,25,aliceblue
26,,WRKST,20,WRKST,23,1,26,aliceblue
27,,NORMT,20,NORMT,23,1,27,aliceblue
28,,LABOR,20,LABOR,23,1,28,aliceblue
29,,EKWSL,20,EKWSL,23,1,29,aliceblue
30,,BRGEW,20,BRGEW,23,1,30,aliceblue
31,,NTGEW,20,NTGEW,23,1,31,aliceblue
32,,GEWEI,20,GEWEI,23,1,32,aliceblue
33,,VOLUM,20,VOLUM,23,1,33,aliceblue
34,,VOLEH,20,VOLEH,23,1,34,aliceblue
35,,BEHVO,20,BEHVO,23,1,35,aliceblue
36,,RAUBE,20,RAUBE,23,1,36,aliceblue
37,,TEMPB,20,TEMPB,23,1,37,aliceblue
38,,DISST,20,DISST,23,1,38,aliceblue
39,,TRAGR,20,TRAGR,23,1,39,aliceblue
40,,STOFF,20,STOFF,23,1,40,aliceblue
41,,SPART,20,SPART,23,1,41,aliceblue
42,,KUNNR,20,KUNNR,23,1,42,aliceblue
43,,EANNR,20,EANNR,23,1,43,aliceblue
44,,WESCH,20,WESCH,23,1,44,aliceblue
45,,BWVOR,20,BWVOR,23,1,45,aliceblue
46,,BWSCL,20,BWSCL,23,1,46,aliceblue
47,,SAISO,20,SAISO,23,1,47,aliceblue
48,,ETIAR,20,ETIAR,23,1,48,aliceblue
49,,ETIFO,20,ETIFO,23,1,49,aliceblue
50,,ENTAR,20,ENTAR,23,1,50,aliceblue
51,,EAN11,20,EAN11,23,1,51,aliceblue
52,,NUMTP,20,NUMTP,23,1,52,aliceblue
53,,LAENG,20,LAENG,23,1,53,aliceblue
54,,BREIT,20,BREIT,23,1,54,aliceblue
55,,HOEHE,20,HOEHE,23,1,55,aliceblue
56,,MEABM,20,MEABM,23,1,56,aliceblue
57,,AEKLK,20,AEKLK,23,1,57,aliceblue
58,,CADKZ,20,CADKZ,23,1,58,aliceblue
59,,QMPUR,20,QMPUR,23,1,59,aliceblue
60,,ERGEW,20,ERGEW,23,1,60,aliceblue
61,,ERGEI,20,ERGEI,23,1,61,aliceblue
62,,ERVOL,20,ERVOL,23,1,62,aliceblue
63,,ERVOE,20,ERVOE,23,1,63,aliceblue
64,,GEWTO,20,GEWTO,23,1,64,aliceblue
65,,VOLTO,20,VOLTO,23,1,65,aliceblue
66,,VABME,20,VABME,23,1,66,aliceblue
67,,KZREV,20,KZREV,23,1,67,aliceblue
68,,KZKFG,20,KZKFG,23,1,68,aliceblue
69,,XCHPF,20,XCHPF,23,1,69,aliceblue
70,,VHART,20,VHART,23,1,70,aliceblue
71,,FUELG,20,FUELG,23,1,71,aliceblue
72,,STFAK,20,STFAK,23,1,72,aliceblue
73,,MAGRV,20,MAGRV,23,1,73,aliceblue
74,,BEGRU,20,BEGRU,23,1,74,aliceblue
75,,DATAB,20,DATAB,23,1,75,aliceblue
76,,LIQDT,20,LIQDT,23,1,76,aliceblue
77,,SAISJ,20,SAISJ,23,1,77,aliceblue
78,,PLGTP,20,PLGTP,23,1,78,aliceblue
79,,MLGUT,20,MLGUT,23,1,79,aliceblue
80,,EXTWG,20,EXTWG,23,1,80,aliceblue
81,,SATNR,20,SATNR,23,1,81,aliceblue
82,,KZKUP,20,KZKUP,23,1,82,aliceblue
83,,KZNFM,20,KZNFM,23,1,83,aliceblue
84,,PMATA,20,PMATA,23,1,84,aliceblue
85,,MSTAE,20,MSTAE,23,1,85,aliceblue
86,,MSTAV,20,MSTAV,23,1,86,aliceblue
87,,MSTDE,20,MSTDE,23,1,87,aliceblue
88,,MSTDV,20,MSTDV,23,1,88,aliceblue
89,,TAKLV,20,TAKLV,23,1,89,aliceblue
90,,RBNRM,20,RBNRM,23,1,90,aliceblue
91,,MHDRZ,20,MHDRZ,23,1,91,aliceblue
92,,MHDHB,20,MHDHB,23,1,92,aliceblue
93,,MHDLP,20,MHDLP,23,1,93,aliceblue
94,,INHME,20,INHME,23,1,94,aliceblue
95,,INHAL,20,INHAL,23,1,95,aliceblue
96,,VPREH,20,VPREH,23,1,96,aliceblue
97,,ETIAG,20,ETIAG,23,1,97,aliceblue
98,,INHBR,20,INHBR,23,1,98,aliceblue
99,,CMETH,20,CMETH,23,1,99,aliceblue
100,,CUOBF,20,CUOBF,23,1,100,aliceblue
101,,KZUMW,20,KZUMW,23,1,101,aliceblue
102,,KOSCH,20,KOSCH,23,1,102,aliceblue
103,,SPROF,20,SPROF,23,1,103,aliceblue
104,,NRFHG,20,NRFHG,23,1,104,aliceblue
105,,MFRPN,20,MFRPN,23,1,105,aliceblue
106,,MFRNR,20,MFRNR,23,1,106,aliceblue
107,,BMATN,20,BMATN,23,1,107,aliceblue
108,,MPROF,20,MPROF,23,1,108,aliceblue
109,,KZWSM,20,KZWSM,23,1,109,aliceblue
110,,SAITY,20,SAITY,23,1,110,aliceblue
111,,PROFL,20,PROFL,23,1,111,aliceblue
112,,IHIVI,20,IHIVI,23,1,112,aliceblue
113,,ILOOS,20,ILOOS,23,1,113,aliceblue
114,,SERLV,20,SERLV,23,1,114,aliceblue
115,,KZGVH,20,KZGVH,23,1,115,aliceblue
116,,XGCHP,20,XGCHP,23,1,116,aliceblue
117,,KZEFF,20,KZEFF,23,1,117,aliceblue
118,,COMPL,20,COMPL,23,1,118,aliceblue
119,,IPRKZ,20,IPRKZ,23,1,119,aliceblue
120,,RDMHD,20,RDMHD,23,1,120,aliceblue
121,,PRZUS,20,PRZUS,23,1,121,aliceblue
122,,MTPOS_MARA,20,MTPOS_MARA,23,1,122,aliceblue
123,,BFLME,20,BFLME,23,1,123,aliceblue
124,,NSNID,20,NSNID,23,1,124,aliceblue
125,,COLOR_ATINN,20,COLOR_ATINN,23,1,125,aliceblue
126,,SIZE1_ATINN,20,SIZE1_ATINN,23,1,126,aliceblue
127,,SIZE2_ATINN,20,SIZE2_ATINN,23,1,127,aliceblue
128,,COLOR,20,COLOR,23,1,128,aliceblue
129,,SIZE1,20,SIZE1,23,1,129,aliceblue
130,,SIZE2,20,SIZE2,23,1,130,aliceblue
131,,FREE_CHAR,20,FREE_CHAR,23,1,131,aliceblue
132,,CARE_CODE,20,CARE_CODE,23,1,132,aliceblue
133,,BRAND_ID,20,BRAND_ID,23,1,133,aliceblue
134,,FIBER_CODE1,20,FIBER_CODE1,23,1,134,aliceblue
