,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,VKORG,30,SalesOrganization,32,1,0,aliceblue
1,,BUKRS,30,CompanyCode,32,1,1,aliceblue
2,,KUNNR,30,Customer,32,1,2,aliceblue
3,,LAND1,30,Country,32,1,3,aliceblue
4,,PERIV,30,FiscalYearVariant,32,1,4,aliceblue
5,,WAERS,30,SalesOrganizationCurrency,32,1,5,aliceblue
6,,VKORG,31,SalesOrganization,33,1,6,aliceblue
7,,VTEXT,31,SalesOrganizationName,33,1,7,aliceblue
8,,SPRAS,31,SPRAS,33,1,8,aliceblue
9,,SalesOrganization,32,SalesOrganization,34,1,9,aliceblue
10,,CompanyCode,32,CompanyCode,34,1,10,aliceblue
11,,Customer,32,Customer,34,1,11,aliceblue
12,,Country,32,Country,34,1,12,aliceblue
13,,FiscalYearVariant,32,FiscalYearVariant,34,1,13,aliceblue
14,,SalesOrganizationCurrency,32,SalesOrganizationCurrency,34,1,14,aliceblue
15,,SalesOrganizationName,33,SalesOrganizationName,34,1,15,aliceblue
16,,SalesOrganization,33,SalesOrganization,34,1,16,aliceblue
17,,SalesOrganization,34,SalesOrganization,35,1,17,aliceblue
18,,CompanyCode,34,CompanyCode,35,1,18,aliceblue
19,,Customer,34,Customer,35,1,19,aliceblue
20,,Country,34,Country,35,1,20,aliceblue
21,,FiscalYearVariant,34,FiscalYearVariant,35,1,21,aliceblue
22,,SalesOrganizationCurrency,34,SalesOrganizationCurrency,35,1,22,aliceblue
23,,SalesOrganizationName,34,SalesOrganizationName,35,1,23,aliceblue
