,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,BUKRS,48,CompanyCode,50,1,0,aliceblue
1,,BELNR,48,DocumentNumber,50,1,1,aliceblue
2,,BUZEI,48,LineItem,50,1,2,aliceblue
3,,KUNNR,48,CustomerNumber,50,1,3,aliceblue
4,,ZFBDT,48,BaselineDate,50,1,4,aliceblue
5,,LAND1,48,Country,50,1,5,aliceblue
6,,AUGDT,48,ClearingDate,50,1,6,aliceblue
7,,HKONT,48,GL_AccountNo,50,1,7,aliceblue
8,,VBELN,48,SalesDocument,50,1,8,aliceblue
9,,ZTERM,48,PaymentTerms,50,1,9,aliceblue
10,,FISCPER,48,Fiscalyear_period,50,1,10,aliceblue
11,,WAERS,48,DocumentCurrency,50,1,11,aliceblue
12,,LCURR,48,LocalCurrency,50,1,12,aliceblue
13,,WRSHB,48,Amountinforeigncurrency,50,1,13,aliceblue
14,,DMSHB,48,Amountinlocalcurrency,50,1,14,aliceblue
15,,WRHAB,48,Creditamountinforeigncurrency,50,1,15,aliceblue
16,,DMHAB,48,Creditamountinlocalcurrency,50,1,16,aliceblue
17,,WRSOL,48,Debititamountinforeigncurrency,50,1,17,aliceblue
18,,DMSOL,48,Debititamountinlocalcurrency,50,1,18,aliceblue
19,,BUDAT,48,PostingDate,50,1,19,aliceblue
20,,NETDT,48,DueDate,50,1,20,aliceblue
21,,UPDMOD,48,UPDMOD,50,1,21,aliceblue
22,,CustomerNumber,49,CustomerNumber,51,1,22,aliceblue
23,,CustomerText,49,CustomerText,51,1,23,aliceblue
24,,CompanyCode,50,CompanyCode,52,1,24,aliceblue
25,,DocumentNumber,50,DocumentNumber,52,1,25,aliceblue
26,,LineItem,50,LineItem,52,1,26,aliceblue
27,,CustomerNumber,50,CustomerNumber,52,1,27,aliceblue
28,,BaselineDate,50,BaselineDate,52,1,28,aliceblue
29,,Country,50,Country,52,1,29,aliceblue
30,,ClearingDate,50,ClearingDate,52,1,30,aliceblue
31,,GL_AccountNo,50,GL_AccountNo,52,1,31,aliceblue
32,,SalesDocument,50,SalesDocument,52,1,32,aliceblue
33,,PaymentTerms,50,PaymentTerms,52,1,33,aliceblue
34,,Fiscalyear_period,50,Fiscalyear_period,52,1,34,aliceblue
35,,DocumentCurrency,50,DocumentCurrency,52,1,35,aliceblue
