,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,KUNNR,14,CustomerNumber,138,1,0,aliceblue
1,,ADRNR,14,Address,138,1,1,aliceblue
2,,LAND1,14,CountryKey,138,1,2,aliceblue
3,,LIFNR,14,Vendor,138,1,3,aliceblue
4,,LOEVM,14,DeletionFlagforMasterRecord,138,1,4,aliceblue
5,,REGIO,14,Region,138,1,5,aliceblue
6,,WERKS,14,Plant,138,1,6,aliceblue
7,,KTOKD,14,CustomerAccountGroup,138,1,7,aliceblue
8,,CITYC,14,City,138,1,8,aliceblue
9,,TXTMD,15,CustomerText,139,1,9,aliceblue
10,,KUNNR,15,KUNNR,139,1,10,aliceblue
11,,CustomerNumber,138,CustomerNumber,140,1,11,aliceblue
12,,KUNNR,139,CustomerNumber,140,1,12,aliceblue
13,,Address,138,Address,140,1,13,aliceblue
14,,CountryKey,138,CountryKey,140,1,14,aliceblue
15,,Vendor,138,Vendor,140,1,15,aliceblue
16,,DeletionFlagforMasterRecord,138,DeletionFlagforMasterRecord,140,1,16,aliceblue
17,,Region,138,Region,140,1,17,aliceblue
18,,Plant,138,Plant,140,1,18,aliceblue
19,,CustomerAccountGroup,138,CustomerAccountGroup,140,1,19,aliceblue
20,,City,138,City,140,1,20,aliceblue
21,,CustomerText,139,CustomerText,140,1,21,aliceblue
22,,SPRAS,38,SPRAS,141,1,22,aliceblue
23,,LAND1,38,LAND1,141,1,23,aliceblue
24,,TXTSH,38,TXTSH,141,1,24,aliceblue
25,,CountryKey,140,CountryKey,142,1,25,aliceblue
26,,TXTSH,141,CountryText,142,1,26,aliceblue
27,,LAND1,141,CountryKey,142,1,27,aliceblue
28,,CustomerNumber,140,CustomerNumber,142,1,28,aliceblue
29,,Address,140,Address,142,1,29,aliceblue
30,,Vendor,140,Vendor,142,1,30,aliceblue
31,,DeletionFlagforMasterRecord,140,DeletionFlagforMasterRecord,142,1,31,aliceblue
32,,Region,140,Region,142,1,32,aliceblue
33,,Plant,140,Plant,142,1,33,aliceblue
34,,CustomerAccountGroup,140,CustomerAccountGroup,142,1,34,aliceblue
35,,City,140,City,142,1,35,aliceblue
36,,CustomerText,140,CustomerText,142,1,36,aliceblue
37,,SPRAS,136,SPRAS,143,1,37,aliceblue
38,,KTOKD,136,KTOKD,143,1,38,aliceblue
39,,TXT30,136,TXT30,143,1,39,aliceblue
40,,CustomerAccountGroup,142,CustomerAccountGroup,144,1,40,aliceblue
41,,TXT30,143,AccountGroupText,144,1,41,aliceblue
42,,KTOKD,143,CustomerAccountGroup,144,1,42,aliceblue
43,,CountryText,142,CountryText,144,1,43,aliceblue
44,,CustomerNumber,142,CustomerNumber,144,1,44,aliceblue
45,,Address,142,Address,144,1,45,aliceblue
46,,CountryKey,142,CountryKey,144,1,46,aliceblue
47,,Vendor,142,Vendor,144,1,47,aliceblue
48,,DeletionFlagforMasterRecord,142,DeletionFlagforMasterRecord,144,1,48,aliceblue
49,,Region,142,Region,144,1,49,aliceblue
50,,Plant,142,Plant,144,1,50,aliceblue
51,,City,142,City,144,1,51,aliceblue
52,,CustomerText,142,CustomerText,144,1,52,aliceblue
53,,BUKRS,137,CompanyCode,145,1,53,aliceblue
54,,KUNNR,137,KUNNR,145,1,54,aliceblue
55,,CustomerNumber,144,CustomerNumber,146,1,55,aliceblue
56,,KUNNR,145,CustomerNumber,146,1,56,aliceblue
57,,AccountGroupText,144,AccountGroupText,146,1,57,aliceblue
58,,CountryText,144,CountryText,146,1,58,aliceblue
59,,Address,144,Address,146,1,59,aliceblue
60,,CountryKey,144,CountryKey,146,1,60,aliceblue
61,,Vendor,144,Vendor,146,1,61,aliceblue
