,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,BUDAT,150,BUDAT,153,1,0,aliceblue
1,,BWGEO,150,BWGEO,153,1,1,aliceblue
2,,BWMNG,150,BWMNG,153,1,2,aliceblue
3,,EBELN,150,EBELN,153,1,3,aliceblue
4,,EBELP,150,EBELP,153,1,4,aliceblue
5,,LGORT,150,LGORT,153,1,5,aliceblue
6,,MATNR,150,MATNR,153,1,6,aliceblue
7,,MBLNR,150,MBLNR,153,1,7,aliceblue
8,,MEINS,150,MEINS,153,1,8,aliceblue
9,,WAERS,150,WAERS,153,1,9,aliceblue
10,,WERKS,150,WERKS,153,1,10,aliceblue
11,,ZEILE,150,ZEILE,153,1,11,aliceblue
12,,BWART,150,BWART,153,1,12,aliceblue
13,,BUKRS,150,BUKRS,153,1,13,aliceblue
14,,Material,151,Material,154,1,14,aliceblue
15,,MaterialGroup,151,MaterialGroup,154,1,15,aliceblue
16,,MaterialName,151,MaterialName,154,1,16,aliceblue
17,,MaterialGroupText,151,MaterialGroupText,154,1,17,aliceblue
18,,BUDAT,153,PostingDate,155,1,18,aliceblue
19,,BWGEO,153,ValueinLocalCurrency,155,1,19,aliceblue
20,,BWMNG,153,Quantity,155,1,20,aliceblue
21,,EBELN,153,PurchasingDocument,155,1,21,aliceblue
22,,EBELP,153,PurchasingDocumentItem,155,1,22,aliceblue
23,,LGORT,153,StorageLocation,155,1,23,aliceblue
24,,MATNR,153,MaterialNumber,155,1,24,aliceblue
25,,MBLNR,153,MaterialDocumentNumber,155,1,25,aliceblue
26,,MEINS,153,UnitofMeasure,155,1,26,aliceblue
27,,WAERS,153,LocalCurrency,155,1,27,aliceblue
28,,WERKS,153,Plant,155,1,28,aliceblue
29,,ZEILE,153,MaterialDocumentItem,155,1,29,aliceblue
30,,BWART,153,MovementType,155,1,30,aliceblue
31,,BUKRS,153,CompanyCode,155,1,31,aliceblue
32,,CC_DocYear,153,CC_DocYear,155,1,32,aliceblue
33,,MaterialName,154,MaterialName,155,1,33,aliceblue
34,,MaterialGroupText,154,MaterialGroupText,155,1,34,aliceblue
35,,Material,154,MaterialNumber,155,1,35,aliceblue
36,,TXTMD,152,PlantText,156,1,36,aliceblue
37,,WERKS,152,WERKS,156,1,37,aliceblue
38,,PostingDate,155,PostingDate,157,1,38,aliceblue
39,,ValueinLocalCurrency,155,ValueinLocalCurrency,157,1,39,aliceblue
40,,Quantity,155,Quantity,157,1,40,aliceblue
41,,PurchasingDocument,155,PurchasingDocument,157,1,41,aliceblue
42,,PurchasingDocumentItem,155,PurchasingDocumentItem,157,1,42,aliceblue
43,,StorageLocation,155,StorageLocation,157,1,43,aliceblue
44,,MaterialNumber,155,MaterialNumber,157,1,44,aliceblue
45,,MaterialDocumentNumber,155,MaterialDocumentNumber,157,1,45,aliceblue
46,,UnitofMeasure,155,UnitofMeasure,157,1,46,aliceblue
47,,LocalCurrency,155,LocalCurrency,157,1,47,aliceblue
48,,Plant,155,Plant,157,1,48,aliceblue
49,,MaterialDocumentItem,155,MaterialDocumentItem,157,1,49,aliceblue
50,,MovementType,155,MovementType,157,1,50,aliceblue
51,,CompanyCode,155,CompanyCode,157,1,51,aliceblue
52,,CC_PostingDate,155,CC_PostingDate,157,1,52,aliceblue
53,,MaterialName,155,MaterialName,157,1,53,aliceblue
54,,MaterialGroupText,155,MaterialGroupText,157,1,54,aliceblue
55,,CC_DocYear,155,CC_DocYear,157,1,55,aliceblue
56,,PlantText,156,PlantText,157,1,56,aliceblue
57,,WERKS,156,Plant,157,1,57,aliceblue
58,,CompanyCode,64,CompanyCode,158,1,58,aliceblue
59,,CompanyCodeName,64,CompanyCodeName,158,1,59,aliceblue
60,,PostingDate,157,PostingDate,159,1,60,aliceblue
61,,ValueinLocalCurrency,157,ValueinLocalCurrency,159,1,61,aliceblue
62,,Quantity,157,Quantity,159,1,62,aliceblue
63,,PurchasingDocument,157,PurchasingDocument,159,1,63,aliceblue
64,,PurchasingDocumentItem,157,PurchasingDocumentItem,159,1,64,aliceblue
65,,StorageLocation,157,StorageLocation,159,1,65,aliceblue
66,,MaterialNumber,157,MaterialNumber,159,1,66,aliceblue
67,,MaterialDocumentNumber,157,MaterialDocumentNumber,159,1,67,aliceblue
68,,UnitofMeasure,157,UnitofMeasure,159,1,68,aliceblue
69,,LocalCurrency,157,LocalCurrency,159,1,69,aliceblue
70,,Plant,157,Plant,159,1,70,aliceblue
71,,MaterialDocumentItem,157,MaterialDocumentItem,159,1,71,aliceblue
72,,MovementType,157,MovementType,159,1,72,aliceblue
73,,CompanyCode,157,CompanyCode,159,1,73,aliceblue
74,,CC_PostingDate,157,CC_PostingDate,159,1,74,aliceblue
75,,PlantText,157,PlantText,159,1,75,aliceblue
76,,MaterialName,157,MaterialName,159,1,76,aliceblue
77,,MaterialGroupText,157,MaterialGroupText,159,1,77,aliceblue
78,,CC_DocYear,157,CC_DocYear,159,1,78,aliceblue
79,,CompanyCodeName,158,CompanyCodeName,159,1,79,aliceblue
80,,CompanyCode,158,CompanyCode,159,1,80,aliceblue
81,,PostingDate,159,PostingDate,160,1,81,aliceblue
82,,PurchasingDocument,159,PurchasingDocument,160,1,82,aliceblue
83,,PurchasingDocumentItem,159,PurchasingDocumentItem,160,1,83,aliceblue
84,,StorageLocation,159,StorageLocation,160,1,84,aliceblue
85,,MaterialNumber,159,MaterialNumber,160,1,85,aliceblue
86,,MaterialDocumentNumber,159,MaterialDocumentNumber,160,1,86,aliceblue
87,,UnitofMeasure,159,UnitofMeasure,160,1,87,aliceblue
88,,LocalCurrency,159,LocalCurrency,160,1,88,aliceblue
89,,Plant,159,Plant,160,1,89,aliceblue
90,,MaterialDocumentItem,159,MaterialDocumentItem,160,1,90,aliceblue
91,,MovementType,159,MovementType,160,1,91,aliceblue
92,,CompanyCode,159,CompanyCode,160,1,92,aliceblue
93,,CC_PostingDate,159,CC_PostingDate,160,1,93,aliceblue
94,,PlantText,159,PlantText,160,1,94,aliceblue
95,,MaterialName,159,MaterialName,160,1,95,aliceblue
96,,MaterialGroupText,159,MaterialGroupText,160,1,96,aliceblue
97,,CompanyCodeName,159,CompanyCodeName,160,1,97,aliceblue
98,,CC_DocYear,159,CC_DocYear,160,1,98,aliceblue
