,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,Material,62,Material,161,1,0,aliceblue
1,,MaterialType,62,MaterialType,161,1,1,aliceblue
2,,MaterialGroup,62,MaterialGroup,161,1,2,aliceblue
3,,MaterialBaseUnit,62,MaterialBaseUnit,161,1,3,aliceblue
4,,ProductHierarchy,62,ProductHierarchy,161,1,4,aliceblue
5,,MaterialCategory,62,MaterialCategory,161,1,5,aliceblue
6,,MaterialName,62,MaterialName,161,1,6,aliceblue
7,,IndustrySector,62,IndustrySector,161,1,7,aliceblue
8,,BasicMaterial,62,BasicMaterial,161,1,8,aliceblue
9,,IndustryStandardName,62,IndustryStandardName,161,1,9,aliceblue
10,,MaterialWeightUnit,62,MaterialWeightUnit,161,1,10,aliceblue
11,,MaterialNetWeight,62,MaterialNetWeight,161,1,11,aliceblue
12,,MaterialExternalGroup,62,MaterialExternalGroup,161,1,12,aliceblue
13,,Division,62,Division,161,1,13,aliceblue
14,,SPRAS,63,SPRAS,162,1,14,aliceblue
15,,MaterialGroup,63,MaterialGroup,162,1,15,aliceblue
16,,MaterialGroupText,63,MaterialGroupText,162,1,16,aliceblue
17,,Material,161,Material,163,1,17,aliceblue
18,,MaterialType,161,MaterialType,163,1,18,aliceblue
19,,MaterialGroup,161,MaterialGroup,163,1,19,aliceblue
20,,MaterialBaseUnit,161,MaterialBaseUnit,163,1,20,aliceblue
21,,ProductHierarchy,161,ProductHierarchy,163,1,21,aliceblue
22,,MaterialCategory,161,MaterialCategory,163,1,22,aliceblue
23,,MaterialName,161,MaterialName,163,1,23,aliceblue
24,,IndustrySector,161,IndustrySector,163,1,24,aliceblue
25,,BasicMaterial,161,BasicMaterial,163,1,25,aliceblue
26,,IndustryStandardName,161,IndustryStandardName,163,1,26,aliceblue
27,,MaterialWeightUnit,161,MaterialWeightUnit,163,1,27,aliceblue
28,,MaterialNetWeight,161,MaterialNetWeight,163,1,28,aliceblue
29,,MaterialExternalGroup,161,MaterialExternalGroup,163,1,29,aliceblue
30,,Division,161,Division,163,1,30,aliceblue
31,,MaterialGroupText,162,MaterialGroupText,163,1,31,aliceblue
32,,MaterialGroup,162,MaterialGroup,163,1,32,aliceblue
33,,Material,163,Material,164,1,33,aliceblue
34,,MaterialType,163,MaterialType,164,1,34,aliceblue
35,,MaterialGroup,163,MaterialGroup,164,1,35,aliceblue
36,,MaterialBaseUnit,163,MaterialBaseUnit,164,1,36,aliceblue
37,,ProductHierarchy,163,ProductHierarchy,164,1,37,aliceblue
38,,MaterialCategory,163,MaterialCategory,164,1,38,aliceblue
39,,MaterialName,163,MaterialName,164,1,39,aliceblue
40,,IndustrySector,163,IndustrySector,164,1,40,aliceblue
41,,BasicMaterial,163,BasicMaterial,164,1,41,aliceblue
42,,IndustryStandardName,163,IndustryStandardName,164,1,42,aliceblue
43,,MaterialWeightUnit,163,MaterialWeightUnit,164,1,43,aliceblue
44,,MaterialExternalGroup,163,MaterialExternalGroup,164,1,44,aliceblue
45,,Division,163,Division,164,1,45,aliceblue
46,,MaterialGroupText,163,MaterialGroupText,164,1,46,aliceblue
