,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,CompanyCode,267,CompanyCode,269,1,0,aliceblue
1,,SalesDocumentType,267,SalesDocumentType,269,1,1,aliceblue
2,,SalesOrganization,267,SalesOrganization,269,1,2,aliceblue
3,,SalesDocument,267,SalesDocument,269,1,3,aliceblue
4,,SalesDocumentItem,267,SalesDocumentItem,269,1,4,aliceblue
5,,StorageLocation,267,StorageLocation,269,1,5,aliceblue
6,,Material,267,Material,269,1,6,aliceblue
7,,NetAmount,267,NetAmount,269,1,7,aliceblue
8,,Plant,267,Plant,269,1,8,aliceblue
9,,TransactionCurrency,267,TransactionCurrency,269,1,9,aliceblue
10,,SoldToParty,267,SoldToParty,269,1,10,aliceblue
11,,SalesDocByYear,267,SalesDocByYear,269,1,11,aliceblue
12,,MaterialText,267,MaterialText,269,1,12,aliceblue
13,,MaterialGroup,267,MaterialGroup,269,1,13,aliceblue
14,,CustomerText,267,CustomerText,269,1,14,aliceblue
15,,MatGroupText,267,MatGroupText,269,1,15,aliceblue
16,,Country,267,Country,269,1,16,aliceblue
17,,CountryText,267,CountryText,269,1,17,aliceblue
18,,Region,267,Region,269,1,18,aliceblue
19,,CITYC,267,CITYC,269,1,19,aliceblue
20,,CompanyCodeText,267,CompanyCodeText,269,1,20,aliceblue
21,,SalesOrgText,267,SalesOrgText,269,1,21,aliceblue
22,,SalesDocTypeText,267,SalesDocTypeText,269,1,22,aliceblue
23,,OrderQuantity,267,OrderQuantity,269,1,23,aliceblue
24,,CC_DocYearMonth,267,CC_DocYearMonth,269,1,24,aliceblue
25,,TargetQuantityUnit,267,TargetQuantityUnit,269,1,25,aliceblue
26,,ETENR,268,ScheduleLineNumber,270,1,26,aliceblue
27,,BMENG,268,ConfirmedQuantity,270,1,27,aliceblue
28,,PKUNRE,268,Bill-to-party,270,1,28,aliceblue
29,,PKUNRG,268,Payer,270,1,29,aliceblue
30,,VBELN,268,VBELN,270,1,30,aliceblue
31,,POSNR,268,POSNR,270,1,31,aliceblue
32,,PKUNWE,268,PKUNWE,270,1,32,aliceblue
33,,MATNR,268,MATNR,270,1,33,aliceblue
34,,MATKL,268,MATKL,270,1,34,aliceblue
35,,AUART,268,AUART,270,1,35,aliceblue
36,,BUKRS,268,BUKRS,270,1,36,aliceblue
37,,CHARG,268,CHARG,270,1,37,aliceblue
38,,ETTYP,268,ETTYP,270,1,38,aliceblue
39,,WERKS,268,WERKS,270,1,39,aliceblue
40,,LIFSK,268,LIFSK,270,1,40,aliceblue
41,,LIFSP,268,LIFSP,270,1,41,aliceblue
42,,KUNNR,268,KUNNR,270,1,42,aliceblue
43,,VKORG,268,VKORG,270,1,43,aliceblue
44,,PKUNWE,270,Ship-to-Party,271,1,44,aliceblue
45,,ScheduleLineNumber,270,ScheduleLineNumber,271,1,45,aliceblue
46,,ConfirmedQuantity,270,ConfirmedQuantity,271,1,46,aliceblue
47,,Bill-to-party,270,Bill-to-party,271,1,47,aliceblue
48,,Payer,270,Payer,271,1,48,aliceblue
49,,VBELN,270,SalesDocument,271,1,49,aliceblue
50,,POSNR,270,SalesDocumentItem,271,1,50,aliceblue
51,,BUKRS,270,CompanyCode,271,1,51,aliceblue
52,,KUNNR,270,SoldToParty,271,1,52,aliceblue
53,,LIFSP,270,Deliveryblockscheduleline,271,1,53,aliceblue
54,,MATNR,270,Material,271,1,54,aliceblue
55,,MATKL,270,MaterialGroup,271,1,55,aliceblue
56,,AUART,270,SalesDocumentType,271,1,56,aliceblue
57,,WERKS,270,Plant,271,1,57,aliceblue
58,,VKORG,270,SalesOrganization,271,1,58,aliceblue
59,,StorageLocation,269,StorageLocation,271,1,59,aliceblue
60,,NetAmount,269,NetAmount,271,1,60,aliceblue
61,,TransactionCurrency,269,TransactionCurrency,271,1,61,aliceblue
62,,SalesDocByYear,269,SalesDocByYear,271,1,62,aliceblue
63,,MaterialText,269,MaterialText,271,1,63,aliceblue
64,,CustomerText,269,CustomerText,271,1,64,aliceblue
65,,MatGroupText,269,MatGroupText,271,1,65,aliceblue
66,,Country,269,Country,271,1,66,aliceblue
67,,CountryText,269,CountryText,271,1,67,aliceblue
68,,Region,269,Region,271,1,68,aliceblue
69,,CITYC,269,CITYC,271,1,69,aliceblue
70,,CompanyCodeText,269,CompanyCodeText,271,1,70,aliceblue
71,,SalesOrgText,269,SalesOrgText,271,1,71,aliceblue
72,,SalesDocTypeText,269,SalesDocTypeText,271,1,72,aliceblue
73,,OrderQuantity,269,OrderQuantity,271,1,73,aliceblue
74,,CC_DocYearMonth,269,CC_DocYearMonth,271,1,74,aliceblue
75,,TargetQuantityUnit,269,TargetQuantityUnit,271,1,75,aliceblue
76,,SalesDocument,269,SalesDocument,271,1,76,aliceblue
77,,SalesDocumentItem,269,SalesDocumentItem,271,1,77,aliceblue
78,,CustomerText,49,CustomerText,272,1,78,aliceblue
79,,CustomerNumber,49,CustomerNumber,272,1,79,aliceblue
80,,CustomerText,271,CustomerText,273,1,80,aliceblue
81,,Bill-to-party,271,Bill-to-party,273,1,81,aliceblue
82,,CompanyCode,271,CompanyCode,273,1,82,aliceblue
83,,SalesDocumentType,271,SalesDocumentType,273,1,83,aliceblue
84,,SalesOrganization,271,SalesOrganization,273,1,84,aliceblue
85,,SalesDocument,271,SalesDocument,273,1,85,aliceblue
86,,SalesDocumentItem,271,SalesDocumentItem,273,1,86,aliceblue
87,,StorageLocation,271,StorageLocation,273,1,87,aliceblue
88,,NetAmount,271,NetAmount,273,1,88,aliceblue
89,,Plant,271,Plant,273,1,89,aliceblue
90,,TransactionCurrency,271,TransactionCurrency,273,1,90,aliceblue
91,,SoldToParty,271,SoldToParty,273,1,91,aliceblue
92,,SalesDocByYear,271,SalesDocByYear,273,1,92,aliceblue
93,,MaterialText,271,MaterialText,273,1,93,aliceblue
94,,MatGroupText,271,MatGroupText,273,1,94,aliceblue
95,,Country,271,Country,273,1,95,aliceblue
96,,CountryText,271,CountryText,273,1,96,aliceblue
97,,Region,271,Region,273,1,97,aliceblue
98,,CITYC,271,CITYC,273,1,98,aliceblue
99,,CompanyCodeText,271,CompanyCodeText,273,1,99,aliceblue
100,,SalesOrgText,271,SalesOrgText,273,1,100,aliceblue
101,,SalesDocTypeText,271,SalesDocTypeText,273,1,101,aliceblue
102,,OrderQuantity,271,OrderQuantity,273,1,102,aliceblue
103,,CC_DocYearMonth,271,CC_DocYearMonth,273,1,103,aliceblue
104,,ScheduleLineNumber,271,ScheduleLineNumber,273,1,104,aliceblue
105,,ConfirmedQuantity,271,ConfirmedQuantity,273,1,105,aliceblue
106,,Payer,271,Payer,273,1,106,aliceblue
107,,Ship-to-Party,271,Ship-to-Party,273,1,107,aliceblue
108,,TargetQuantityUnit,271,TargetQuantityUnit,273,1,108,aliceblue
109,,Material,271,Material,273,1,109,aliceblue
110,,MaterialGroup,271,MaterialGroup,273,1,110,aliceblue
111,,CustomerText,272,Bill-to-partyText,273,1,111,aliceblue
112,,CustomerNumber,272,Bill-to-party,273,1,112,aliceblue
113,,CustomerText,273,CustomerText,274,1,113,aliceblue
114,,Payer,273,Payer,274,1,114,aliceblue
115,,CompanyCode,273,CompanyCode,274,1,115,aliceblue
116,,SalesDocumentType,273,SalesDocumentType,274,1,116,aliceblue
117,,SalesOrganization,273,SalesOrganization,274,1,117,aliceblue
118,,SalesDocument,273,SalesDocument,274,1,118,aliceblue
119,,SalesDocumentItem,273,SalesDocumentItem,274,1,119,aliceblue
120,,StorageLocation,273,StorageLocation,274,1,120,aliceblue
121,,NetAmount,273,NetAmount,274,1,121,aliceblue
122,,Plant,273,Plant,274,1,122,aliceblue
123,,TransactionCurrency,273,TransactionCurrency,274,1,123,aliceblue
124,,SoldToParty,273,SoldToParty,274,1,124,aliceblue
125,,SalesDocByYear,273,SalesDocByYear,274,1,125,aliceblue
126,,MaterialText,273,MaterialText,274,1,126,aliceblue
127,,MatGroupText,273,MatGroupText,274,1,127,aliceblue
128,,Country,273,Country,274,1,128,aliceblue
129,,CountryText,273,CountryText,274,1,129,aliceblue
130,,Region,273,Region,274,1,130,aliceblue
131,,CITYC,273,CITYC,274,1,131,aliceblue
132,,CompanyCodeText,273,CompanyCodeText,274,1,132,aliceblue
133,,SalesOrgText,273,SalesOrgText,274,1,133,aliceblue
134,,SalesDocTypeText,273,SalesDocTypeText,274,1,134,aliceblue
135,,OrderQuantity,273,OrderQuantity,274,1,135,aliceblue
136,,CC_DocYearMonth,273,CC_DocYearMonth,274,1,136,aliceblue
137,,ScheduleLineNumber,273,ScheduleLineNumber,274,1,137,aliceblue
138,,ConfirmedQuantity,273,ConfirmedQuantity,274,1,138,aliceblue
139,,Bill-to-party,273,Bill-to-party,274,1,139,aliceblue
140,,Ship-to-Party,273,Ship-to-Party,274,1,140,aliceblue
141,,Bill-to-partyText,273,Bill-to-partyText,274,1,141,aliceblue
142,,TargetQuantityUnit,273,TargetQuantityUnit,274,1,142,aliceblue
143,,Material,273,Material,274,1,143,aliceblue
144,,MaterialGroup,273,MaterialGroup,274,1,144,aliceblue
145,,CustomerText,272,PayerText,274,1,145,aliceblue
146,,CustomerNumber,272,Payer,274,1,146,aliceblue
147,,CustomerText,274,CustomerText,275,1,147,aliceblue
148,,Ship-to-Party,274,Ship-to-Party,275,1,148,aliceblue
149,,CompanyCode,274,CompanyCode,275,1,149,aliceblue
150,,SalesDocumentType,274,SalesDocumentType,275,1,150,aliceblue
151,,SalesOrganization,274,SalesOrganization,275,1,151,aliceblue
152,,SalesDocument,274,SalesDocument,275,1,152,aliceblue
153,,SalesDocumentItem,274,SalesDocumentItem,275,1,153,aliceblue
154,,StorageLocation,274,StorageLocation,275,1,154,aliceblue
155,,NetAmount,274,NetAmount,275,1,155,aliceblue
156,,Plant,274,Plant,275,1,156,aliceblue
157,,TransactionCurrency,274,TransactionCurrency,275,1,157,aliceblue
158,,SoldToParty,274,SoldToParty,275,1,158,aliceblue
159,,SalesDocByYear,274,SalesDocByYear,275,1,159,aliceblue
160,,MaterialText,274,MaterialText,275,1,160,aliceblue
161,,MatGroupText,274,MatGroupText,275,1,161,aliceblue
162,,Country,274,Country,275,1,162,aliceblue
163,,CountryText,274,CountryText,275,1,163,aliceblue
164,,Region,274,Region,275,1,164,aliceblue
165,,CITYC,274,CITYC,275,1,165,aliceblue
166,,CompanyCodeText,274,CompanyCodeText,275,1,166,aliceblue
167,,SalesOrgText,274,SalesOrgText,275,1,167,aliceblue
168,,SalesDocTypeText,274,SalesDocTypeText,275,1,168,aliceblue
169,,OrderQuantity,274,OrderQuantity,275,1,169,aliceblue
170,,CC_DocYearMonth,274,CC_DocYearMonth,275,1,170,aliceblue
171,,ScheduleLineNumber,274,ScheduleLineNumber,275,1,171,aliceblue
172,,ConfirmedQuantity,274,ConfirmedQuantity,275,1,172,aliceblue
173,,Bill-to-party,274,Bill-to-party,275,1,173,aliceblue
174,,Payer,274,Payer,275,1,174,aliceblue
175,,Bill-to-partyText,274,Bill-to-partyText,275,1,175,aliceblue
176,,PayerText,274,PayerText,275,1,176,aliceblue
177,,TargetQuantityUnit,274,TargetQuantityUnit,275,1,177,aliceblue
178,,Material,274,Material,275,1,178,aliceblue
179,,MaterialGroup,274,MaterialGroup,275,1,179,aliceblue
180,,CustomerText,272,Ship-to-partyText,275,1,180,aliceblue
181,,CustomerNumber,272,Ship-to-Party,275,1,181,aliceblue
182,,CompanyCode,275,CompanyCode,278,1,182,aliceblue
183,,SalesDocumentType,275,SalesDocumentType,278,1,183,aliceblue
184,,SalesOrganization,275,SalesOrganization,278,1,184,aliceblue
185,,SalesDocument,275,SalesDocument,278,1,185,aliceblue
186,,SalesDocumentItem,275,SalesDocumentItem,278,1,186,aliceblue
187,,StorageLocation,275,StorageLocation,278,1,187,aliceblue
188,,Plant,275,Plant,278,1,188,aliceblue
189,,TransactionCurrency,275,TransactionCurrency,278,1,189,aliceblue
190,,SoldToParty,275,SoldToParty,278,1,190,aliceblue
191,,MaterialText,275,MaterialText,278,1,191,aliceblue
192,,CustomerText,275,CustomerText,278,1,192,aliceblue
193,,MatGroupText,275,MatGroupText,278,1,193,aliceblue
194,,Country,275,Country,278,1,194,aliceblue
195,,CountryText,275,CountryText,278,1,195,aliceblue
196,,Region,275,Region,278,1,196,aliceblue
197,,CITYC,275,CITYC,278,1,197,aliceblue
