,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,PKUNRE,205,Bill-toparty,207,1,0,aliceblue
1,,PKUNRG,205,Payer,207,1,1,aliceblue
2,,KOSTK,205,HDR_PickStatus,207,1,2,aliceblue
3,,WA_DELAY_LF,205,Delay_AGItoPGI,207,1,3,aliceblue
4,,ROCANCEL,205,ROCANCEL,207,1,4,aliceblue
5,,VBELN,205,VBELN,207,1,5,aliceblue
6,,ROCANCEL,206,Cancellationindicator,208,1,6,aliceblue
7,,VBELN,206,Delivery,208,1,7,aliceblue
8,,POSNR,206,DeliveryItem,208,1,8,aliceblue
9,,BUKRS,206,Companycode,208,1,9,aliceblue
10,,KDGRP,206,Customergroup,208,1,10,aliceblue
11,,LFDAT,206,ConfirmedDeliverydate,208,1,11,aliceblue
12,,LIFSK,206,Deliveryblock,208,1,12,aliceblue
13,,LIFNR,206,Vendor,208,1,13,aliceblue
14,,VKORG,206,Salesorganization,208,1,14,aliceblue
15,,VBTYP,206,Salesdocumentcategory,208,1,15,aliceblue
16,,BWVORG,206,BWTransactionkey,208,1,16,aliceblue
17,,LFIMG,206,Deliveryquantity,208,1,17,aliceblue
18,,MATNR,206,Material,208,1,18,aliceblue
19,,MATKL,206,Materialgroup,208,1,19,aliceblue
20,,MEINS,206,BaseUOM,208,1,20,aliceblue
21,,KUNAG,206,Sold-toparty,208,1,21,aliceblue
22,,KOSTA,206,Item_Pickingstatus,208,1,22,aliceblue
23,,KOQUA,206,Item_Pickconfirmation,208,1,23,aliceblue
24,,WADAT_IST,206,ActualGIdate,208,1,24,aliceblue
25,,VGBEL,206,Referencedocument,208,1,25,aliceblue
26,,VGPOS,206,Referenceitem,208,1,26,aliceblue
27,,LGMNG,206,Actualdeliveryquantity,208,1,27,aliceblue
28,,WA_DELAY_LF,206,Delay_AGI_PGI,208,1,28,aliceblue
29,,KUNNR,206,Ship-toparty,208,1,29,aliceblue
30,,WADAT,206,PlannedGIDate,208,1,30,aliceblue
31,,HDR_PickStatus,207,HDR_PickStatus,209,1,31,aliceblue
32,,Bill-toparty,207,Bill-toparty,209,1,32,aliceblue
33,,Payer,207,Payer,209,1,33,aliceblue
34,,VBELN,207,JOIN$VBELN$Delivery,209,1,34,aliceblue
35,,Cancellationindicator,208,Cancellationindicator,209,1,35,aliceblue
36,,Delivery,208,Delivery,209,1,36,aliceblue
37,,DeliveryItem,208,DeliveryItem,209,1,37,aliceblue
38,,Companycode,208,Companycode,209,1,38,aliceblue
39,,Customergroup,208,Customergroup,209,1,39,aliceblue
