,LABEL_NODE,ID,FUNCTION,JOIN_ARG,NAME_NODE,FILTER,COLOR
0,BILLING_DOC_HDR,0,DataSources,,BILLING_DOC_HDR,,black
1,B_BillingHdr@BillingDocHdr_P,1,ProjectionView,,BillingDocHdr_P,,black
2,B_BillingHdr@Semantics,2,Semantics,,Semantics,,black
3,BILLING_DOC_ITM,3,DataSources,,BILLING_DOC_ITM,,black
4,B_BillingItem@BillingDocItem,4,ProjectionView,,BillingDocItem,,black
5,B_BillingItem@Semantics,5,Semantics,,Semantics,,black
6,BILL_CAT_TEXT,6,DataSources,,BILL_CAT_TEXT,,black
7,D_BillingCategoryText@Semantics,7,Semantics,,Semantics,,black
8,COMP_CODE_ATTR,8,DataSources,,COMP_CODE_ATTR,,black
9,COMP_CODE_TEXT,9,DataSources,,COMP_CODE_TEXT,,black
10,D_COMPANY_CODE@COMPCODE_ATTR_P,10,ProjectionView,,COMPCODE_ATTR_P,,black
11,D_COMPANY_CODE@COMCODE_TEXT_P,11,ProjectionView,,COMCODE_TEXT_P,,black
12,D_COMPANY_CODE@Join_1,12,JoinView,"{'JoinType': 'leftOuter', 'JoinVariable': 'BUKRS', 'Cardinality': 'CN_1'}",Join_1,,black
13,D_COMPANY_CODE@Semantics,13,Semantics,,Semantics,,black
14,CUSTOMER_ATTR,14,DataSources,,CUSTOMER_ATTR,,black
15,CUSTOMER_TEXT,15,DataSources,,CUSTOMER_TEXT,,black
16,D_Customer@Cust_Attr_P,16,ProjectionView,,Cust_Attr_P,,black
17,D_Customer@Cust_Txt_P,17,ProjectionView,,Cust_Txt_P,,black
18,D_Customer@Join_1,18,JoinView,"{'JoinType': 'leftOuter', 'JoinVariable': 'CustomerNumber', 'Cardinality': 'CN_1'}",Join_1,,black
19,D_Customer@Semantics,19,Semantics,,Semantics,,black
20,MATERIAL_ATTR,20,DataSources,,MATERIAL_ATTR,,black
21,MATERIAL_TEXT,21,DataSources,,MATERIAL_TEXT,,black
22,MATL_GROUP_TEXT,22,DataSources,,MATL_GROUP_TEXT,,black
23,D_Material@MatAttr_P,23,ProjectionView,,MatAttr_P,,black
24,D_Material@MatText_P,24,ProjectionView,,MatText_P,,black
25,D_Material@Projection_1,25,ProjectionView,,Projection_1,"""SPRAS"" IN ('E', '1')",dodgerblue
26,D_Material@Join_1_1,26,JoinView,"{'JoinType': 'leftOuter', 'JoinVariable': 'MaterialGroup', 'Cardinality': 'CN_1'}",Join_1_1,,black
27,D_Material@Join_1_2,27,JoinView,"{'JoinType': 'textTable', 'JoinVariable': 'Material', 'Cardinality': 'C1_1'}",Join_1_2,,black
28,D_Material@Semantics,28,Semantics,,Semantics,,black
29,D_MATGROUP_TEXT@Semantics,29,Semantics,,Semantics,,black
30,SALESORG_ATTR,30,DataSources,,SALESORG_ATTR,,black
31,SALESORG_TEXT,31,DataSources,,SALESORG_TEXT,,black
32,D_SalesOrganization@SALESORG_ATTR_P,32,ProjectionView,,SALESORG_ATTR_P,,black
33,D_SalesOrganization@SALESORG_TEXT_P,33,ProjectionView,,SALESORG_TEXT_P,,black
34,D_SalesOrganization@Join_1,34,JoinView,"{'JoinType': 'textTable', 'JoinVariable': 'SalesOrganization', 'Cardinality': 'C1_1'}",Join_1,,black
