CALC_VIEW,SOURCE,CALC_ID,SOURCE_ID,LINK_VALUE,COLOR
B_BillingHdr,BILLING_DOC_HDR,30,27,1,aliceblue
B_BillingItem,BILLING_DOC_ITM,31,28,1,aliceblue
D_BillingCategoryText,BILL_CAT_TEXT,42,29,1,aliceblue
D_COMPANY_CODE,COMP_CODE_ATTR,43,32,1,aliceblue
D_COMPANY_CODE,COMP_CODE_TEXT,43,33,1,aliceblue
D_Customer,CUSTOMER_ATTR,44,35,1,aliceblue
D_Customer,CUSTOMER_TEXT,44,36,1,aliceblue
D_Material,MATERIAL_ATTR,46,48,1,aliceblue
D_Material,MATERIAL_TEXT,46,51,1,aliceblue
D_Material,MATL_GROUP_TEXT,46,52,1,aliceblue
D_MATGROUP_TEXT,MATL_GROUP_TEXT,45,52,1,aliceblue
D_SalesOrganization,SALESORG_ATTR,47,62,1,aliceblue
D_SalesOrganization,SALESORG_TEXT,47,63,1,aliceblue
Q_AccountsPayable,COMP_CODE_TEXT,8,33,1,aliceblue
Q_AccountsPayable,ACCOUNTS_PAYABLE,8,24,1,aliceblue
Q_AccountsPayable,VENDOR_TEXT,8,70,1,aliceblue
Q_AccountsPayable,COUNTRY_TEXT,8,34,1,aliceblue
Q_AccountsReceivable,COMP_CODE_TEXT,9,33,1,aliceblue
Q_AccountsReceivable,COUNTRY_TEXT,9,34,1,aliceblue
Q_AccountsReceivable,ACCOUNTS_RECEIVABLE,9,25,1,aliceblue
Q_AccountsReceivable,Q_CustomerMasterList,9,58,1,aliceblue
Q_BillingDoc,B_BillingHdr,10,30,1,aliceblue
Q_BillingDoc,B_BillingItem,10,31,1,aliceblue
Q_BillingDoc,D_SalesOrganization,10,47,1,aliceblue
Q_BillingDoc,D_Material,10,46,1,aliceblue
Q_BillingDoc,D_MATGROUP_TEXT,10,45,1,aliceblue
Q_BillingDoc,D_COMPANY_CODE,10,43,1,aliceblue
Q_BillingDoc,D_BillingCategoryText,10,42,1,aliceblue
Q_BillingDoc,D_Customer,10,44,1,aliceblue
Q_BillingDoc,Payer_P$$$$D_Customer$$,10,57,1,aliceblue
Q_BillingDoc,Customer_P$$$$D_Customer$$,10,38,1,aliceblue
Q_BillingDoc,M_TIME_DIMENSION,10,53,1,aliceblue
Q_CreditMemo,B_BillingHdr,11,30,1,aliceblue
Q_CreditMemo,B_BillingItem,11,31,1,aliceblue
Q_CreditMemo,D_SalesOrganization,11,47,1,aliceblue
Q_CreditMemo,D_Material,11,46,1,aliceblue
Q_CreditMemo,D_MATGROUP_TEXT,11,45,1,aliceblue
Q_CreditMemo,D_COMPANY_CODE,11,43,1,aliceblue
Q_CreditMemo,D_BillingCategoryText,11,42,1,aliceblue
Q_CreditMemo,D_Customer,11,44,1,aliceblue
Q_CreditMemo,Payer_P$$$$D_Customer$$,11,57,1,aliceblue
Q_CreditMemo,Customer_P$$$$D_Customer$$,11,38,1,aliceblue
Q_CreditMemo,M_TIME_DIMENSION,11,53,1,aliceblue
Q_CreditRatio,B_BillingHdr,12,30,1,aliceblue
Q_CreditRatio,B_BillingItem,12,31,1,aliceblue
Q_CreditRatio,D_SalesOrganization,12,47,1,aliceblue
Q_CreditRatio,D_Material,12,46,1,aliceblue
Q_CreditRatio,D_MATGROUP_TEXT,12,45,1,aliceblue
Q_CreditRatio,D_COMPANY_CODE,12,43,1,aliceblue
Q_CreditRatio,D_BillingCategoryText,12,42,1,aliceblue
Q_CreditRatio,D_Customer,12,44,1,aliceblue
