,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,ROCANCEL,0,ROCANCEL,1,1,0,aliceblue
1,,BUCHK,0,BUCHK,1,1,1,aliceblue
2,,GBSTK,0,GBSTK,1,1,2,aliceblue
3,,VBELN,0,VBELN,1,1,3,aliceblue
4,,BUKRS,0,BUKRS,1,1,4,aliceblue
5,,BZIRK,0,BZIRK,1,1,5,aliceblue
6,,ERDAT,0,ERDAT,1,1,6,aliceblue
7,,ERNAM,0,ERNAM,1,1,7,aliceblue
8,,FKART,0,FKART,1,1,8,aliceblue
9,,FKDAT,0,FKDAT,1,1,9,aliceblue
10,,FKTYP,0,FKTYP,1,1,10,aliceblue
11,,HWAER,0,HWAER,1,1,11,aliceblue
12,,INCO1,0,INCO1,1,1,12,aliceblue
13,,INCO2,0,INCO2,1,1,13,aliceblue
14,,KDGRP,0,KDGRP,1,1,14,aliceblue
15,,KUNAG,0,KUNAG,1,1,15,aliceblue
16,,KUNRG,0,KUNRG,1,1,16,aliceblue
17,,KURRF,0,KURRF,1,1,17,aliceblue
18,,KURST,0,KURST,1,1,18,aliceblue
19,,NETWR,0,NETWR,1,1,19,aliceblue
20,,PVRTNR,0,PVRTNR,1,1,20,aliceblue
21,,PZPERS,0,PZPERS,1,1,21,aliceblue
22,,SPART,0,SPART,1,1,22,aliceblue
23,,STWAE,0,STWAE,1,1,23,aliceblue
24,,VBTYP,0,VBTYP,1,1,24,aliceblue
25,,VKORG,0,VKORG,1,1,25,aliceblue
26,,VTWEG,0,VTWEG,1,1,26,aliceblue
27,,WAERK,0,WAERK,1,1,27,aliceblue
28,,ANZFK,0,ANZFK,1,1,28,aliceblue
29,,PERIV,0,PERIV,1,1,29,aliceblue
30,,BillingDocument,1,BillingDocument,2,1,30,aliceblue
31,,CompanyCode,1,CompanyCode,2,1,31,aliceblue
32,,SalesDistrict,1,SalesDistrict,2,1,32,aliceblue
33,,CreationDate,1,CreationDate,2,1,33,aliceblue
34,,CreatedByUser,1,CreatedByUser,2,1,34,aliceblue
35,,BillingDocumentType,1,BillingDocumentType,2,1,35,aliceblue
36,,InvoiceListBillingDate,1,InvoiceListBillingDate,2,1,36,aliceblue
37,,BillingDocumentCategory,1,BillingDocumentCategory,2,1,37,aliceblue
38,,IncotermsClassification,1,IncotermsClassification,2,1,38,aliceblue
39,,IncotermsTransferLocation,1,IncotermsTransferLocation,2,1,39,aliceblue
40,,CustomerGroup,1,CustomerGroup,2,1,40,aliceblue
41,,SoldToParty,1,SoldToParty,2,1,41,aliceblue
42,,PayerParty,1,PayerParty,2,1,42,aliceblue
43,,AccountingExchangeRate,1,AccountingExchangeRate,2,1,43,aliceblue
44,,ExchangeRateType,1,ExchangeRateType,2,1,44,aliceblue
45,,Division,1,Division,2,1,45,aliceblue
46,,StatisticsCurrency,1,StatisticsCurrency,2,1,46,aliceblue
47,,SDDocumentCategory,1,SDDocumentCategory,2,1,47,aliceblue
48,,SalesOrganization,1,SalesOrganization,2,1,48,aliceblue
49,,DistributionChannel,1,DistributionChannel,2,1,49,aliceblue
50,,TransactionCurrency,1,TransactionCurrency,2,1,50,aliceblue
51,,NETWR,1,NETWR,2,1,51,aliceblue
