,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,KUNNR,14,CustomerNumber,16,1,0,aliceblue
1,,ADRNR,14,Address,16,1,1,aliceblue
2,,LAND1,14,Country,16,1,2,aliceblue
3,,LIFNR,14,Vendor,16,1,3,aliceblue
4,,LOEVM,14,DeletionFlagforMasterRecord,16,1,4,aliceblue
5,,REGIO,14,Region,16,1,5,aliceblue
6,,WERKS,14,Plant,16,1,6,aliceblue
7,,KTOKD,14,CustomerAccountGroup,16,1,7,aliceblue
8,,CITYC,14,City,16,1,8,aliceblue
9,,KUNNR,15,KUNNR,17,1,9,aliceblue
10,,TXTMD,15,CustomerName,17,1,10,aliceblue
11,,CustomerNumber,16,CustomerNumber,18,1,11,aliceblue
12,,Address,16,Address,18,1,12,aliceblue
13,,Country,16,Country,18,1,13,aliceblue
14,,Vendor,16,Vendor,18,1,14,aliceblue
15,,DeletionFlagforMasterRecord,16,DeletionFlagforMasterRecord,18,1,15,aliceblue
16,,Region,16,Region,18,1,16,aliceblue
17,,Plant,16,Plant,18,1,17,aliceblue
18,,CustomerAccountGroup,16,CustomerAccountGroup,18,1,18,aliceblue
19,,City,16,City,18,1,19,aliceblue
20,,CustomerName,17,CustomerName,18,1,20,aliceblue
21,,KUNNR,17,CustomerNumber,18,1,21,aliceblue
22,,CustomerNumber,18,CustomerNumber,19,1,22,aliceblue
23,,Address,18,Address,19,1,23,aliceblue
24,,Country,18,Country,19,1,24,aliceblue
25,,Vendor,18,Vendor,19,1,25,aliceblue
26,,DeletionFlagforMasterRecord,18,DeletionFlagforMasterRecord,19,1,26,aliceblue
27,,Region,18,Region,19,1,27,aliceblue
28,,Plant,18,Plant,19,1,28,aliceblue
29,,CustomerAccountGroup,18,CustomerAccountGroup,19,1,29,aliceblue
30,,City,18,City,19,1,30,aliceblue
31,,CustomerName,18,CustomerName,19,1,31,aliceblue
