,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,BUKRS,36,CompanyCode,39,1,0,aliceblue
1,,BELNR,36,DocumentNo,39,1,1,aliceblue
2,,BUZEI,36,ItemNo,39,1,2,aliceblue
3,,LIFNR,36,Vendor,39,1,3,aliceblue
4,,ZFBDT,36,BaselineDate,39,1,4,aliceblue
5,,NETDT,36,NetDueDate,39,1,5,aliceblue
6,,LAND1,36,Country,39,1,6,aliceblue
7,,LCURR,36,Localcurrency,39,1,7,aliceblue
8,,WAERS,36,Documentcurrency,39,1,8,aliceblue
9,,AUGDT,36,Clearingdate,39,1,9,aliceblue
10,,WRSHB,36,Amountinforeigncurrency,39,1,10,aliceblue
11,,DMSHB,36,Amountinlocalcurrency,39,1,11,aliceblue
12,,DMHAB,36,Creditamountinlocalcurrency,39,1,12,aliceblue
13,,WRHAB,36,Creditamountinforeigncurrency,39,1,13,aliceblue
14,,WRSOL,36,Debitamountinforeigncurrency,39,1,14,aliceblue
15,,REBZG,36,InvoiceNo,39,1,15,aliceblue
16,,HKONT,36,GLAccountnumber,39,1,16,aliceblue
17,,SKNTO,36,SKNTO,39,1,17,aliceblue
18,,SAKNR,36,SAKNR,39,1,18,aliceblue
19,,UPDMOD,36,UPDMOD,39,1,19,aliceblue
20,,TXTMD,37,VendorText,40,1,20,aliceblue
21,,LIFNR,37,LIFNR,40,1,21,aliceblue
22,,CompanyCode,39,CompanyCode,41,1,22,aliceblue
23,,DocumentNo,39,DocumentNo,41,1,23,aliceblue
24,,Vendor,39,Vendor,41,1,24,aliceblue
25,,BaselineDate,39,BaselineDate,41,1,25,aliceblue
26,,NetDueDate,39,NetDueDate,41,1,26,aliceblue
27,,Country,39,Country,41,1,27,aliceblue
28,,Localcurrency,39,Localcurrency,41,1,28,aliceblue
29,,Documentcurrency,39,Documentcurrency,41,1,29,aliceblue
30,,Clearingdate,39,Clearingdate,41,1,30,aliceblue
31,,Amountinforeigncurrency,39,Amountinforeigncurrency,41,1,31,aliceblue
32,,Amountinlocalcurrency,39,Amountinlocalcurrency,41,1,32,aliceblue
33,,Creditamountinlocalcurrency,39,Creditamountinlocalcurrency,41,1,33,aliceblue
34,,Creditamountinforeigncurrency,39,Creditamountinforeigncurrency,41,1,34,aliceblue
35,,Debitamountinforeigncurrency,39,Debitamountinforeigncurrency,41,1,35,aliceblue
36,,InvoiceNo,39,InvoiceNo,41,1,36,aliceblue
37,,GLAccountnumber,39,GLAccountnumber,41,1,37,aliceblue
38,,UPDMOD,39,UPDMOD,41,1,38,aliceblue
39,,ItemNo,39,ItemNo,41,1,39,aliceblue
40,,CC_Arrears,39,CC_Arrears,41,1,40,aliceblue
41,,CC_Aging,39,CC_Aging,41,1,41,aliceblue
42,,VendorText,40,VendorText,41,1,42,aliceblue
43,,LIFNR,40,Vendor,41,1,43,aliceblue
44,,TXTSH,38,Countrytext,42,1,44,aliceblue
45,,SPRAS,38,SPRAS,42,1,45,aliceblue
46,,LAND1,38,LAND1,42,1,46,aliceblue
47,,CompanyCode,41,CompanyCode,43,1,47,aliceblue
48,,DocumentNo,41,DocumentNo,43,1,48,aliceblue
49,,Vendor,41,Vendor,43,1,49,aliceblue
50,,BaselineDate,41,BaselineDate,43,1,50,aliceblue
51,,NetDueDate,41,NetDueDate,43,1,51,aliceblue
52,,Country,41,Country,43,1,52,aliceblue
53,,Localcurrency,41,Localcurrency,43,1,53,aliceblue
54,,Documentcurrency,41,Documentcurrency,43,1,54,aliceblue
55,,Clearingdate,41,Clearingdate,43,1,55,aliceblue
56,,Amountinforeigncurrency,41,Amountinforeigncurrency,43,1,56,aliceblue
57,,Amountinlocalcurrency,41,Amountinlocalcurrency,43,1,57,aliceblue
58,,Creditamountinlocalcurrency,41,Creditamountinlocalcurrency,43,1,58,aliceblue
59,,Creditamountinforeigncurrency,41,Creditamountinforeigncurrency,43,1,59,aliceblue
60,,Debitamountinforeigncurrency,41,Debitamountinforeigncurrency,43,1,60,aliceblue
61,,InvoiceNo,41,InvoiceNo,43,1,61,aliceblue
62,,GLAccountnumber,41,GLAccountnumber,43,1,62,aliceblue
63,,UPDMOD,41,UPDMOD,43,1,63,aliceblue
64,,VendorText,41,VendorText,43,1,64,aliceblue
65,,ItemNo,41,ItemNo,43,1,65,aliceblue
66,,CC_Arrears,41,CC_Arrears,43,1,66,aliceblue
67,,CC_Aging,41,CC_Aging,43,1,67,aliceblue
68,,Countrytext,42,Countrytext,43,1,68,aliceblue
69,,LAND1,42,Country,43,1,69,aliceblue
70,,BUKRS,9,BUKRS,44,1,70,aliceblue
71,,TXTMD,9,TXTMD,44,1,71,aliceblue
72,,LANGU,9,LANGU,44,1,72,aliceblue
73,,CompanyCode,43,CompanyCode,45,1,73,aliceblue
74,,DocumentNo,43,DocumentNo,45,1,74,aliceblue
75,,Vendor,43,Vendor,45,1,75,aliceblue
76,,BaselineDate,43,BaselineDate,45,1,76,aliceblue
77,,NetDueDate,43,NetDueDate,45,1,77,aliceblue
78,,Country,43,Country,45,1,78,aliceblue
79,,Localcurrency,43,Localcurrency,45,1,79,aliceblue
80,,Documentcurrency,43,Documentcurrency,45,1,80,aliceblue
81,,Clearingdate,43,Clearingdate,45,1,81,aliceblue
82,,Amountinforeigncurrency,43,Amountinforeigncurrency,45,1,82,aliceblue
83,,Amountinlocalcurrency,43,Amountinlocalcurrency,45,1,83,aliceblue
