,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,BillingDocument,59,BillingDocument,92,1,0,aliceblue
1,,CompanyCode,59,CompanyCode,92,1,1,aliceblue
2,,SalesDistrict,59,SalesDistrict,92,1,2,aliceblue
3,,CreationDate,59,CreationDate,92,1,3,aliceblue
4,,CreatedByUser,59,CreatedByUser,92,1,4,aliceblue
5,,BillingDocumentType,59,BillingDocumentType,92,1,5,aliceblue
6,,InvoiceListBillingDate,59,InvoiceListBillingDate,92,1,6,aliceblue
7,,BillingDocumentCategory,59,BillingDocumentCategory,92,1,7,aliceblue
8,,IncotermsClassification,59,IncotermsClassification,92,1,8,aliceblue
9,,IncotermsTransferLocation,59,IncotermsTransferLocation,92,1,9,aliceblue
10,,CustomerGroup,59,CustomerGroup,92,1,10,aliceblue
11,,SoldToParty,59,SoldToParty,92,1,11,aliceblue
12,,PayerParty,59,PayerParty,92,1,12,aliceblue
13,,AccountingExchangeRate,59,AccountingExchangeRate,92,1,13,aliceblue
14,,ExchangeRateType,59,ExchangeRateType,92,1,14,aliceblue
15,,Division,59,Division,92,1,15,aliceblue
16,,StatisticsCurrency,59,StatisticsCurrency,92,1,16,aliceblue
17,,SDDocumentCategory,59,SDDocumentCategory,92,1,17,aliceblue
18,,SalesOrganization,59,SalesOrganization,92,1,18,aliceblue
19,,DistributionChannel,59,DistributionChannel,92,1,19,aliceblue
20,,TransactionCurrency,59,TransactionCurrency,92,1,20,aliceblue
21,,BillingDocument,60,HeaderBillingDocument,93,1,21,aliceblue
22,,BillingDocumentItem,60,BillingDocumentItem,93,1,22,aliceblue
23,,BillingQuantityUnit,60,BillingQuantityUnit,93,1,23,aliceblue
24,,BillingToBaseQuantityNumrtr,60,BillingToBaseQuantityNumrtr,93,1,24,aliceblue
25,,BillingToBaseQuantityDnmntr,60,BillingToBaseQuantityDnmntr,93,1,25,aliceblue
26,,BaseUnit,60,BaseUnit,93,1,26,aliceblue
27,,ItemWeightUnit,60,ItemWeightUnit,93,1,27,aliceblue
28,,ItemVolumeUnit,60,ItemVolumeUnit,93,1,28,aliceblue
29,,PricingDate,60,PricingDate,93,1,29,aliceblue
30,,ServicesRenderedDate,60,ServicesRenderedDate,93,1,30,aliceblue
31,,PriceDetnExchangeRate,60,PriceDetnExchangeRate,93,1,31,aliceblue
32,,ReferenceSDDocument,60,ReferenceSDDocument,93,1,32,aliceblue
33,,SalesDocument,60,SalesDocument,93,1,33,aliceblue
34,,SalesDocumentItem,60,SalesDocumentItem,93,1,34,aliceblue
35,,Material,60,Material,93,1,35,aliceblue
36,,Batch,60,Batch,93,1,36,aliceblue
37,,MaterialGroup,60,MaterialGroup,93,1,37,aliceblue
38,,SalesDocumentItemCategory,60,SalesDocumentItemCategory,93,1,38,aliceblue
39,,SalesDocumentItemType,60,SalesDocumentItemType,93,1,39,aliceblue
40,,ProductHierarchyNode,60,ProductHierarchyNode,93,1,40,aliceblue
41,,RebateBasisAmount,60,RebateBasisAmount,93,1,41,aliceblue
42,,ItemGrossWeight,60,ItemGrossWeight,93,1,42,aliceblue
43,,ItemGrossAmountOfBillingDoc,60,ItemGrossAmountOfBillingDoc,93,1,43,aliceblue
44,,BillingQuantity,60,BillingQuantity,93,1,44,aliceblue
