,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,BillingDocument,59,BillingDocument,114,1,0,aliceblue
1,,CompanyCode,59,CompanyCode,114,1,1,aliceblue
2,,SalesDistrict,59,SalesDistrict,114,1,2,aliceblue
3,,CreationDate,59,CreationDate,114,1,3,aliceblue
4,,CreatedByUser,59,CreatedByUser,114,1,4,aliceblue
5,,BillingDocumentType,59,BillingDocumentType,114,1,5,aliceblue
6,,InvoiceListBillingDate,59,InvoiceListBillingDate,114,1,6,aliceblue
7,,BillingDocumentCategory,59,BillingDocumentCategory,114,1,7,aliceblue
8,,IncotermsClassification,59,IncotermsClassification,114,1,8,aliceblue
9,,IncotermsTransferLocation,59,IncotermsTransferLocation,114,1,9,aliceblue
10,,CustomerGroup,59,CustomerGroup,114,1,10,aliceblue
11,,SoldToParty,59,SoldToParty,114,1,11,aliceblue
12,,PayerParty,59,PayerParty,114,1,12,aliceblue
13,,AccountingExchangeRate,59,AccountingExchangeRate,114,1,13,aliceblue
14,,ExchangeRateType,59,ExchangeRateType,114,1,14,aliceblue
15,,Division,59,Division,114,1,15,aliceblue
16,,StatisticsCurrency,59,StatisticsCurrency,114,1,16,aliceblue
17,,SDDocumentCategory,59,SDDocumentCategory,114,1,17,aliceblue
18,,SalesOrganization,59,SalesOrganization,114,1,18,aliceblue
19,,DistributionChannel,59,DistributionChannel,114,1,19,aliceblue
20,,TransactionCurrency,59,TransactionCurrency,114,1,20,aliceblue
21,,BillingDocument,60,HeaderBillingDocument,115,1,21,aliceblue
22,,BillingDocumentItem,60,BillingDocumentItem,115,1,22,aliceblue
23,,BillingQuantityUnit,60,BillingQuantityUnit,115,1,23,aliceblue
24,,BillingToBaseQuantityNumrtr,60,BillingToBaseQuantityNumrtr,115,1,24,aliceblue
25,,BillingToBaseQuantityDnmntr,60,BillingToBaseQuantityDnmntr,115,1,25,aliceblue
26,,BaseUnit,60,BaseUnit,115,1,26,aliceblue
27,,ItemWeightUnit,60,ItemWeightUnit,115,1,27,aliceblue
28,,ItemVolumeUnit,60,ItemVolumeUnit,115,1,28,aliceblue
