,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,EBELN,165,PurchasingDocument,168,1,0,aliceblue
1,,BUDAT,165,PostingDate,168,1,1,aliceblue
2,,BSTYP,165,PurchasingDocumentCategory,168,1,2,aliceblue
3,,BSART,165,PurchasingDocumentType,168,1,3,aliceblue
4,,EKGRP,165,PurchasingGroup,168,1,4,aliceblue
5,,LIFNR,165,Vendor,168,1,5,aliceblue
6,,WAERS,165,POCurrency,168,1,6,aliceblue
7,,ROCANCEL,165,ROCANCEL,168,1,7,aliceblue
8,,EBELP,166,PO_ItemNumber,169,1,8,aliceblue
9,,MATNR,166,MaterialNumber,169,1,9,aliceblue
10,,LGORT,166,StorageLocation,169,1,10,aliceblue
11,,MEINS,166,POUnit,169,1,11,aliceblue
12,,MENGE,166,POQuantity,169,1,12,aliceblue
13,,NETPR,166,NetPrice,169,1,13,aliceblue
14,,NETWR,166,NetPOValue,169,1,14,aliceblue
15,,PEINH,166,PriceUnit,169,1,15,aliceblue
16,,WERKS,166,Plant,169,1,16,aliceblue
17,,WAERS,166,POCurrency,169,1,17,aliceblue
18,,MATKL,166,MaterialGroup,169,1,18,aliceblue
19,,BEDAT,166,DocumentDate,169,1,19,aliceblue
20,,EBELN,166,EBELN,169,1,20,aliceblue
21,,ROCANCEL,166,ROCANCEL,169,1,21,aliceblue
22,,LIFNR,166,LIFNR,169,1,22,aliceblue
23,,BWVORG,166,BWVORG,169,1,23,aliceblue
24,,PO_ItemNumber,169,PO_ItemNumber,170,1,24,aliceblue
25,,MaterialNumber,169,MaterialNumber,170,1,25,aliceblue
26,,StorageLocation,169,StorageLocation,170,1,26,aliceblue
27,,POUnit,169,POUnit,170,1,27,aliceblue
28,,POQuantity,169,POQuantity,170,1,28,aliceblue
29,,NetPrice,169,NetPrice,170,1,29,aliceblue
30,,CC_POValue,169,NetPOValue,170,1,30,aliceblue
31,,PriceUnit,169,PriceUnit,170,1,31,aliceblue
32,,Plant,169,Plant,170,1,32,aliceblue
33,,ROCANCEL,169,ROCANCEL,170,1,33,aliceblue
34,,MaterialGroup,169,MaterialGroup,170,1,34,aliceblue
35,,POCurrency,169,POCurrency,170,1,35,aliceblue
36,,LIFNR,169,Vendor,170,1,36,aliceblue
37,,CC_DocumentYear,169,CC_DocumentYear,170,1,37,aliceblue
38,,CC_PODocumentDate,169,CC_PODocumentDate,170,1,38,aliceblue
39,,EBELN,169,JOIN$EBELN$PurchasingDocument,170,1,39,aliceblue
40,,PurchasingDocument,168,PurchasingDocument,170,1,40,aliceblue
41,,PostingDate,168,PostingDate,170,1,41,aliceblue
42,,PurchasingDocumentCategory,168,PurchasingDocumentCategory,170,1,42,aliceblue
43,,PurchasingDocumentType,168,PurchasingDocumentType,170,1,43,aliceblue
44,,PurchasingGroup,168,PurchasingGroup,170,1,44,aliceblue
45,,CC_PostingDate,168,CC_PostingDate,170,1,45,aliceblue
46,,CC_Postingyear,168,CC_Postingyear,170,1,46,aliceblue
47,,PurchasingDocument,168,JOIN$EBELN$PurchasingDocument,170,1,47,aliceblue
48,,Material,151,Material,171,1,48,aliceblue
49,,MaterialName,151,MaterialName,171,1,49,aliceblue
50,,MaterialGroupText,151,MaterialGroupText,171,1,50,aliceblue
51,,PurchasingDocument,170,PurchasingDocument,172,1,51,aliceblue
52,,PostingDate,170,PostingDate,172,1,52,aliceblue
53,,PurchasingDocumentCategory,170,PurchasingDocumentCategory,172,1,53,aliceblue
54,,PurchasingDocumentType,170,PurchasingDocumentType,172,1,54,aliceblue
55,,PurchasingGroup,170,PurchasingGroup,172,1,55,aliceblue
56,,Vendor,170,Vendor,172,1,56,aliceblue
57,,CC_PostingDate,170,CC_PostingDate,172,1,57,aliceblue
