,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,BUKRS,180,CompanyCode,183,1,0,aliceblue
1,,ERDAT,180,CreationDate,183,1,1,aliceblue
2,,AUART,180,SalesDocType,183,1,2,aliceblue
3,,KUNNR,180,Customer,183,1,3,aliceblue
4,,VKORG,180,SalesOrg,183,1,4,aliceblue
5,,VBELN,180,SalesDocument,183,1,5,aliceblue
6,,VBTYP,180,VBTYP,183,1,6,aliceblue
7,,POSNR,181,Item,184,1,7,aliceblue
8,,ERNAM,181,Createdby,184,1,8,aliceblue
9,,LGORT,181,StorageLoc,184,1,9,aliceblue
10,,MATNR,181,Material,184,1,10,aliceblue
11,,NETWR,181,NetValue,184,1,11,aliceblue
12,,WERKS,181,Plant,184,1,12,aliceblue
13,,WAERK,181,DocumentCurrency,184,1,13,aliceblue
14,,ZMENG,181,TargetQty,184,1,14,aliceblue
15,,ZIEME,181,QtyUnits,184,1,15,aliceblue
16,,NTGEW,181,NetWeight,184,1,16,aliceblue
17,,MATKL,181,MaterialGroup,184,1,17,aliceblue
18,,KWMENG,181,OrderQty,184,1,18,aliceblue
19,,ABGRU,181,SalesDocumentRejectReason,184,1,19,aliceblue
20,,VBELN,181,VBELN,184,1,20,aliceblue
21,,NETPR,181,NETPR,184,1,21,aliceblue
22,,VBTYP,181,VBTYP,184,1,22,aliceblue
23,,AUGRU,181,AUGRU,184,1,23,aliceblue
24,,KPEIN,181,KPEIN,184,1,24,aliceblue
25,,KMEIN,181,KMEIN,184,1,25,aliceblue
26,,Item,184,Item,185,1,26,aliceblue
27,,Createdby,184,Createdby,185,1,27,aliceblue
28,,StorageLoc,184,StorageLoc,185,1,28,aliceblue
29,,Material,184,Material,185,1,29,aliceblue
30,,NetValue,184,NetValue,185,1,30,aliceblue
31,,Plant,184,Plant,185,1,31,aliceblue
32,,DocumentCurrency,184,DocumentCurrency,185,1,32,aliceblue
33,,TargetQty,184,TargetQty,185,1,33,aliceblue
34,,QtyUnits,184,QtyUnits,185,1,34,aliceblue
35,,NetWeight,184,NetWeight,185,1,35,aliceblue
36,,MaterialGroup,184,MaterialGroup,185,1,36,aliceblue
37,,OrderQty,184,OrderQty,185,1,37,aliceblue
38,,SalesDocumentRejectReason,184,SalesDocumentRejectReason,185,1,38,aliceblue
39,,AUGRU,184,AUGRU,185,1,39,aliceblue
40,,NETPR,184,NETPR,185,1,40,aliceblue
41,,KPEIN,184,KPEIN,185,1,41,aliceblue
42,,KMEIN,184,KMEIN,185,1,42,aliceblue
43,,VBELN,184,JOIN$VBELN$SalesDocument,185,1,43,aliceblue
44,,SalesDocument,183,SalesDocument,185,1,44,aliceblue
45,,DocYear,183,DocMonth,185,1,45,aliceblue
46,,SalesDocument,183,VBELN,185,1,46,aliceblue
47,,CompanyCode,183,CompanyCode,185,1,47,aliceblue
48,,CreationDate,183,CreationDate,185,1,48,aliceblue
49,,SalesDocType,183,SalesDocType,185,1,49,aliceblue
50,,Customer,183,Customer,185,1,50,aliceblue
51,,SalesOrg,183,SalesOrg,185,1,51,aliceblue
52,,DocDate,183,DocDate,185,1,52,aliceblue
53,,SalesDocument,183,JOIN$VBELN$SalesDocument,185,1,53,aliceblue
54,,KUNNR,15,KUNNR,186,1,54,aliceblue
55,,TXTMD,15,TXTMD,186,1,55,aliceblue
56,,Customer,185,Customer,187,1,56,aliceblue
57,,CompanyCode,185,CompanyCode,187,1,57,aliceblue
58,,CreationDate,185,CreationDate,187,1,58,aliceblue
59,,SalesDocType,185,SalesDocType,187,1,59,aliceblue
60,,SalesOrg,185,SalesOrg,187,1,60,aliceblue
61,,SalesDocument,185,SalesDocument,187,1,61,aliceblue
62,,DocDate,185,DocDate,187,1,62,aliceblue
63,,DocMonth,185,DocMonth,187,1,63,aliceblue
64,,VBELN,185,VBELN,187,1,64,aliceblue
65,,Item,185,Item,187,1,65,aliceblue
66,,Createdby,185,Createdby,187,1,66,aliceblue
67,,StorageLoc,185,StorageLoc,187,1,67,aliceblue
68,,Material,185,Material,187,1,68,aliceblue
69,,NetValue,185,NetValue,187,1,69,aliceblue
70,,Plant,185,Plant,187,1,70,aliceblue
71,,DocumentCurrency,185,DocumentCurrency,187,1,71,aliceblue
72,,TargetQty,185,TargetQty,187,1,72,aliceblue
73,,QtyUnits,185,QtyUnits,187,1,73,aliceblue
74,,NetWeight,185,NetWeight,187,1,74,aliceblue
75,,MaterialGroup,185,MaterialGroup,187,1,75,aliceblue
76,,OrderQty,185,OrderQty,187,1,76,aliceblue
77,,SalesDocumentRejectReason,185,SalesDocumentRejectReason,187,1,77,aliceblue
78,,AUGRU,185,AUGRU,187,1,78,aliceblue
79,,NETPR,185,NETPR,187,1,79,aliceblue
80,,KPEIN,185,KPEIN,187,1,80,aliceblue
81,,KMEIN,185,KMEIN,187,1,81,aliceblue
82,,TXTMD,186,CustomerText,187,1,82,aliceblue
83,,KUNNR,186,Customer,187,1,83,aliceblue
84,,Material,187,Material,188,1,84,aliceblue
85,,CompanyCode,187,CompanyCode,188,1,85,aliceblue
86,,CreationDate,187,CreationDate,188,1,86,aliceblue
87,,SalesDocType,187,SalesDocType,188,1,87,aliceblue
88,,Customer,187,Customer,188,1,88,aliceblue
89,,SalesOrg,187,SalesOrg,188,1,89,aliceblue
90,,SalesDocument,187,SalesDocument,188,1,90,aliceblue
91,,DocDate,187,DocDate,188,1,91,aliceblue
92,,DocMonth,187,DocMonth,188,1,92,aliceblue
93,,VBELN,187,VBELN,188,1,93,aliceblue
94,,Item,187,Item,188,1,94,aliceblue
95,,Createdby,187,Createdby,188,1,95,aliceblue
96,,StorageLoc,187,StorageLoc,188,1,96,aliceblue
97,,NetValue,187,NetValue,188,1,97,aliceblue
98,,Plant,187,Plant,188,1,98,aliceblue
99,,DocumentCurrency,187,DocumentCurrency,188,1,99,aliceblue
100,,TargetQty,187,TargetQty,188,1,100,aliceblue
101,,QtyUnits,187,QtyUnits,188,1,101,aliceblue
102,,NetWeight,187,NetWeight,188,1,102,aliceblue
103,,MaterialGroup,187,MaterialGroup,188,1,103,aliceblue
104,,CustomerText,187,CustomerText,188,1,104,aliceblue
105,,OrderQty,187,OrderQty,188,1,105,aliceblue
106,,SalesDocumentRejectReason,187,SalesDocumentRejectReason,188,1,106,aliceblue
107,,AUGRU,187,AUGRU,188,1,107,aliceblue
108,,NETPR,187,NETPR,188,1,108,aliceblue
109,,KPEIN,187,KPEIN,188,1,109,aliceblue
110,,KMEIN,187,KMEIN,188,1,110,aliceblue
111,,TXTMD,189,MaterialText,188,1,111,aliceblue
112,,MATNR,189,Material,188,1,112,aliceblue
113,,TXTMD,21,TXTMD,189,1,113,aliceblue
114,,MATNR,21,MATNR,189,1,114,aliceblue
115,,SPRAS,21,SPRAS,189,1,115,aliceblue
116,,MaterialGroup,188,MaterialGroup,190,1,116,aliceblue
117,,CompanyCode,188,CompanyCode,190,1,117,aliceblue
118,,CreationDate,188,CreationDate,190,1,118,aliceblue
119,,SalesDocType,188,SalesDocType,190,1,119,aliceblue
120,,Customer,188,Customer,190,1,120,aliceblue
121,,SalesOrg,188,SalesOrg,190,1,121,aliceblue
122,,SalesDocument,188,SalesDocument,190,1,122,aliceblue
123,,DocDate,188,DocDate,190,1,123,aliceblue
124,,DocMonth,188,DocMonth,190,1,124,aliceblue
125,,VBELN,188,VBELN,190,1,125,aliceblue
126,,Item,188,Item,190,1,126,aliceblue
127,,Createdby,188,Createdby,190,1,127,aliceblue
128,,StorageLoc,188,StorageLoc,190,1,128,aliceblue
129,,Material,188,Material,190,1,129,aliceblue
130,,NetValue,188,NetValue,190,1,130,aliceblue
131,,Plant,188,Plant,190,1,131,aliceblue
132,,DocumentCurrency,188,DocumentCurrency,190,1,132,aliceblue
133,,TargetQty,188,TargetQty,190,1,133,aliceblue
134,,QtyUnits,188,QtyUnits,190,1,134,aliceblue
135,,NetWeight,188,NetWeight,190,1,135,aliceblue
136,,MaterialText,188,MaterialText,190,1,136,aliceblue
137,,CustomerText,188,CustomerText,190,1,137,aliceblue
138,,OrderQty,188,OrderQty,190,1,138,aliceblue
139,,SalesDocumentRejectReason,188,SalesDocumentRejectReason,190,1,139,aliceblue
140,,AUGRU,188,AUGRU,190,1,140,aliceblue
141,,NETPR,188,NETPR,190,1,141,aliceblue
142,,KPEIN,188,KPEIN,190,1,142,aliceblue
143,,KMEIN,188,KMEIN,190,1,143,aliceblue
144,,TXTSH,191,MatGroupText,190,1,144,aliceblue
145,,MATKL,191,MaterialGroup,190,1,145,aliceblue
146,,TXTSH,22,TXTSH,191,1,146,aliceblue
147,,MATKL,22,MATKL,191,1,147,aliceblue
148,,SPRAS,22,SPRAS,191,1,148,aliceblue
149,,KUNNR,14,KUNNR,192,1,149,aliceblue
150,,LAND1,14,LAND1,192,1,150,aliceblue
151,,REGIO,14,REGIO,192,1,151,aliceblue
152,,CITYC,14,CITYC,192,1,152,aliceblue
153,,Customer,190,Customer,193,1,153,aliceblue
154,,CompanyCode,190,CompanyCode,193,1,154,aliceblue
155,,CreationDate,190,CreationDate,193,1,155,aliceblue
156,,SalesDocType,190,SalesDocType,193,1,156,aliceblue
157,,SalesOrg,190,SalesOrg,193,1,157,aliceblue
158,,SalesDocument,190,SalesDocument,193,1,158,aliceblue
159,,DocDate,190,DocDate,193,1,159,aliceblue
