,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,BUKRS,180,CompanyCode,243,1,0,aliceblue
1,,ERDAT,180,CreationDate,243,1,1,aliceblue
2,,AUART,180,SalesDocType,243,1,2,aliceblue
3,,KUNNR,180,Customer,243,1,3,aliceblue
4,,VKORG,180,SalesOrg,243,1,4,aliceblue
5,,VBELN,180,SalesDocument,243,1,5,aliceblue
6,,POSNR,181,Item,244,1,6,aliceblue
7,,ERNAM,181,Createdby,244,1,7,aliceblue
8,,LGORT,181,StorageLoc,244,1,8,aliceblue
9,,MATNR,181,Material,244,1,9,aliceblue
10,,NETWR,181,NetValue,244,1,10,aliceblue
11,,WERKS,181,Plant,244,1,11,aliceblue
12,,WAERK,181,DocumentCurrency,244,1,12,aliceblue
13,,ZMENG,181,TargetQty,244,1,13,aliceblue
14,,ZIEME,181,QtyUnits,244,1,14,aliceblue
15,,NTGEW,181,NetWeight,244,1,15,aliceblue
16,,MATKL,181,MaterialGroup,244,1,16,aliceblue
17,,KWMENG,181,OrderQty,244,1,17,aliceblue
18,,ABGRU,181,SalesDocumentRejectReason,244,1,18,aliceblue
19,,VBELN,181,VBELN,244,1,19,aliceblue
20,,NETPR,181,NETPR,244,1,20,aliceblue
21,,Item,244,Item,245,1,21,aliceblue
22,,Createdby,244,Createdby,245,1,22,aliceblue
23,,StorageLoc,244,StorageLoc,245,1,23,aliceblue
24,,Material,244,Material,245,1,24,aliceblue
25,,NetValue,244,NetValue,245,1,25,aliceblue
26,,Plant,244,Plant,245,1,26,aliceblue
27,,DocumentCurrency,244,DocumentCurrency,245,1,27,aliceblue
28,,TargetQty,244,TargetQty,245,1,28,aliceblue
29,,QtyUnits,244,QtyUnits,245,1,29,aliceblue
30,,NetWeight,244,NetWeight,245,1,30,aliceblue
31,,MaterialGroup,244,MaterialGroup,245,1,31,aliceblue
32,,OrderQty,244,OrderQty,245,1,32,aliceblue
33,,SalesDocumentRejectReason,244,SalesDocumentRejectReason,245,1,33,aliceblue
34,,VBELN,244,JOIN$VBELN$SalesDocument,245,1,34,aliceblue
35,,SalesDocument,243,SalesDocument,245,1,35,aliceblue
36,,DocYear,243,DocMonth,245,1,36,aliceblue
37,,SalesDocument,243,VBELN,245,1,37,aliceblue
38,,CompanyCode,243,CompanyCode,245,1,38,aliceblue
39,,CreationDate,243,CreationDate,245,1,39,aliceblue
40,,SalesDocType,243,SalesDocType,245,1,40,aliceblue
41,,Customer,243,Customer,245,1,41,aliceblue
42,,SalesOrg,243,SalesOrg,245,1,42,aliceblue
43,,DocDate,243,DocDate,245,1,43,aliceblue
44,,SalesDocument,243,JOIN$VBELN$SalesDocument,245,1,44,aliceblue
45,,KUNNR,15,KUNNR,246,1,45,aliceblue
46,,TXTMD,15,TXTMD,246,1,46,aliceblue
47,,Customer,245,Customer,247,1,47,aliceblue
48,,CompanyCode,245,CompanyCode,247,1,48,aliceblue
49,,CreationDate,245,CreationDate,247,1,49,aliceblue
50,,SalesDocType,245,SalesDocType,247,1,50,aliceblue
51,,SalesOrg,245,SalesOrg,247,1,51,aliceblue
52,,SalesDocument,245,SalesDocument,247,1,52,aliceblue
53,,DocDate,245,DocDate,247,1,53,aliceblue
54,,DocMonth,245,DocMonth,247,1,54,aliceblue
55,,VBELN,245,VBELN,247,1,55,aliceblue
56,,Item,245,Item,247,1,56,aliceblue
57,,Createdby,245,Createdby,247,1,57,aliceblue
