,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,MATNR,279,Material,281,1,0,aliceblue
1,,BSTAUS,279,StockAttributesintheLIS,281,1,1,aliceblue
2,,BSTTYP,279,StockCategory,281,1,2,aliceblue
3,,BUDAT,279,PostingDate,281,1,3,aliceblue
4,,WERKS,279,Plant,281,1,4,aliceblue
5,,CHARG,279,BatchNumber,281,1,5,aliceblue
6,,LGORT,279,StorageLocation,281,1,6,aliceblue
7,,WAERS,279,LocalCurrency,281,1,7,aliceblue
8,,MEINS,279,BaseUOM,281,1,8,aliceblue
9,,LIFNR,279,Vendor,281,1,9,aliceblue
10,,BWMNG,279,QuantityinBaseUOM,281,1,10,aliceblue
11,,KZBWS,279,ValuationSpecialStock,281,1,11,aliceblue
12,,BWGEO,279,PurchaseValueinLocalCurrency,281,1,12,aliceblue
13,,Material,151,Material,282,1,13,aliceblue
14,,MaterialType,151,MaterialType,282,1,14,aliceblue
15,,MaterialGroup,151,MaterialGroup,282,1,15,aliceblue
16,,MaterialName,151,MaterialName,282,1,16,aliceblue
17,,MaterialGroupText,151,MaterialGroupText,282,1,17,aliceblue
18,,Material,281,Material,283,1,18,aliceblue
19,,StockAttributesintheLIS,281,StockAttributesintheLIS,283,1,19,aliceblue
20,,Plant,281,Plant,283,1,20,aliceblue
21,,BatchNumber,281,BatchNumber,283,1,21,aliceblue
22,,StorageLocation,281,StorageLocation,283,1,22,aliceblue
23,,LocalCurrency,281,LocalCurrency,283,1,23,aliceblue
24,,BaseUOM,281,BaseUOM,283,1,24,aliceblue
25,,QuantityinBaseUOM,281,QuantityinBaseUOM,283,1,25,aliceblue
26,,Vendor,281,Vendor,283,1,26,aliceblue
27,,ValuationSpecialStock,281,ValuationSpecialStock,283,1,27,aliceblue
28,,PurchaseValueinLocalCurrency,281,PurchaseValueinLocalCurrency,283,1,28,aliceblue
29,,MaterialName,282,MaterialName,283,1,29,aliceblue
30,,MaterialGroupText,282,MaterialGroupText,283,1,30,aliceblue
31,,Material,282,Material,283,1,31,aliceblue
32,,VendorNO,280,VendorNO,284,1,32,aliceblue
33,,VendorText,280,VendorText,284,1,33,aliceblue
34,,MaterialName,286,MaterialName,285,1,34,aliceblue
35,,MaterialGroupText,286,MaterialGroupText,285,1,35,aliceblue
36,,Material,286,Material,285,1,36,aliceblue
37,,Plant,286,Plant,285,1,37,aliceblue
38,,StockAttributesintheLIS,286,StockAttributesintheLIS,285,1,38,aliceblue
39,,BatchNumber,286,BatchNumber,285,1,39,aliceblue
40,,StorageLocation,286,StorageLocation,285,1,40,aliceblue
41,,LocalCurrency,286,LocalCurrency,285,1,41,aliceblue
42,,BaseUOM,286,BaseUOM,285,1,42,aliceblue
43,,QuantityinBaseUOM,286,QuantityinBaseUOM,285,1,43,aliceblue
44,,Vendor,286,Vendor,285,1,44,aliceblue
45,,StoragelocationText,286,StoragelocationText,285,1,45,aliceblue
46,,ValuationSpecialStock,286,ValuationSpecialStock,285,1,46,aliceblue
47,,PurchaseValueinLocalCurrency,286,PurchaseValueinLocalCurrency,285,1,47,aliceblue
48,,VendorText,284,VendorText,285,1,48,aliceblue
49,,VendorNO,284,Vendor,285,1,49,aliceblue
50,,MaterialName,283,MaterialName,286,1,50,aliceblue
51,,MaterialGroupText,283,MaterialGroupText,286,1,51,aliceblue
52,,Material,283,Material,286,1,52,aliceblue
53,,StockAttributesintheLIS,283,StockAttributesintheLIS,286,1,53,aliceblue
54,,Plant,283,Plant,286,1,54,aliceblue
55,,BatchNumber,283,BatchNumber,286,1,55,aliceblue
56,,StorageLocation,283,StorageLocation,286,1,56,aliceblue
57,,LocalCurrency,283,LocalCurrency,286,1,57,aliceblue
58,,BaseUOM,283,BaseUOM,286,1,58,aliceblue
59,,QuantityinBaseUOM,283,QuantityinBaseUOM,286,1,59,aliceblue
60,,Vendor,283,Vendor,286,1,60,aliceblue
61,,ValuationSpecialStock,283,ValuationSpecialStock,286,1,61,aliceblue
62,,PurchaseValueinLocalCurrency,283,PurchaseValueinLocalCurrency,286,1,62,aliceblue
63,,StoragelocationText,287,StoragelocationText,286,1,63,aliceblue
64,,WERKS,287,Plant,286,1,64,aliceblue
65,,LGORT,287,StorageLocation,286,1,65,aliceblue
66,,TXTMD,167,StoragelocationText,287,1,66,aliceblue
67,,WERKS,167,WERKS,287,1,67,aliceblue
68,,LGORT,167,LGORT,287,1,68,aliceblue
69,,MaterialName,285,MaterialName,288,1,69,aliceblue
70,,MaterialGroupText,285,MaterialGroupText,288,1,70,aliceblue
71,,VendorText,285,VendorText,288,1,71,aliceblue
72,,Material,285,Material,288,1,72,aliceblue
73,,Plant,285,Plant,288,1,73,aliceblue
74,,StockAttributesintheLIS,285,StockAttributesintheLIS,288,1,74,aliceblue
75,,BatchNumber,285,BatchNumber,288,1,75,aliceblue
76,,StorageLocation,285,StorageLocation,288,1,76,aliceblue
77,,LocalCurrency,285,LocalCurrency,288,1,77,aliceblue
78,,BaseUOM,285,BaseUOM,288,1,78,aliceblue
79,,QuantityinBaseUOM,285,QuantityinBaseUOM,288,1,79,aliceblue
80,,Vendor,285,Vendor,288,1,80,aliceblue
81,,StoragelocationText,285,StoragelocationText,288,1,81,aliceblue
82,,ValuationSpecialStock,285,ValuationSpecialStock,288,1,82,aliceblue
83,,PurchaseValueinLocalCurrency,285,PurchaseValueinLocalCurrency,288,1,83,aliceblue
84,,PlantText,289,PlantText,288,1,84,aliceblue
85,,WERKS,289,Plant,288,1,85,aliceblue
86,,TXTMD,152,PlantText,289,1,86,aliceblue
87,,WERKS,152,WERKS,289,1,87,aliceblue
88,,MaterialName,288,MaterialName,290,1,88,aliceblue
89,,MaterialGroupText,288,MaterialGroupText,290,1,89,aliceblue
90,,VendorText,288,VendorText,290,1,90,aliceblue
91,,Material,288,Material,290,1,91,aliceblue
92,,Plant,288,Plant,290,1,92,aliceblue
93,,StockAttributesintheLIS,288,StockAttributesintheLIS,290,1,93,aliceblue
94,,BatchNumber,288,BatchNumber,290,1,94,aliceblue
95,,StorageLocation,288,StorageLocation,290,1,95,aliceblue
96,,LocalCurrency,288,LocalCurrency,290,1,96,aliceblue
97,,BaseUOM,288,BaseUOM,290,1,97,aliceblue
98,,Vendor,288,Vendor,290,1,98,aliceblue
99,,StoragelocationText,288,StoragelocationText,290,1,99,aliceblue
100,,PlantText,288,PlantText,290,1,100,aliceblue
101,,ValuationSpecialStock,288,ValuationSpecialStock,290,1,101,aliceblue
