,TRANSFORMATION,SOURCE_FIELD,SOURCE_NODE,TARGET_FIELD,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,,LIFNR,291,VendorNO,294,1,0,aliceblue
1,,ERNAM,291,CreatedBy,294,1,1,aliceblue
2,,LAND1,291,VendorCountry,294,1,2,aliceblue
3,,LOEVM,291,DeletionFlag,294,1,3,aliceblue
4,,KTOKK,291,VendorAccountGroup,294,1,4,aliceblue
5,,TXTMD,37,VendorText,295,1,5,aliceblue
6,,LIFNR,37,LIFNR,295,1,6,aliceblue
7,,VendorNO,294,VendorNO,296,1,7,aliceblue
8,,LIFNR,295,VendorNO,296,1,8,aliceblue
9,,CreatedBy,294,CreatedBy,296,1,9,aliceblue
10,,VendorCountry,294,VendorCountry,296,1,10,aliceblue
11,,DeletionFlag,294,DeletionFlag,296,1,11,aliceblue
12,,VendorAccountGroup,294,VendorAccountGroup,296,1,12,aliceblue
13,,VendorText,295,VendorText,296,1,13,aliceblue
14,,TXT30,292,VendorAccGrpText,297,1,14,aliceblue
15,,SPRAS,292,SPRAS,297,1,15,aliceblue
16,,KTOKK,292,KTOKK,297,1,16,aliceblue
17,,VendorAccountGroup,296,VendorAccountGroup,298,1,17,aliceblue
18,,KTOKK,297,VendorAccountGroup,298,1,18,aliceblue
19,,VendorNO,296,VendorNO,298,1,19,aliceblue
20,,CreatedBy,296,CreatedBy,298,1,20,aliceblue
21,,VendorCountry,296,VendorCountry,298,1,21,aliceblue
22,,DeletionFlag,296,DeletionFlag,298,1,22,aliceblue
23,,VendorText,296,VendorText,298,1,23,aliceblue
24,,VendorAccGrpText,297,VendorAccGrpText,298,1,24,aliceblue
25,,LIFNR,293,LIFNR,299,1,25,aliceblue
26,,BUKRS,293,BUKRS,299,1,26,aliceblue
27,,VendorNO,298,VendorNO,300,1,27,aliceblue
28,,BUKRS,299,VendorCompanyCode,300,1,28,aliceblue
29,,LIFNR,299,VendorNO,300,1,29,aliceblue
30,,CreatedBy,298,CreatedBy,300,1,30,aliceblue
31,,VendorCountry,298,VendorCountry,300,1,31,aliceblue
32,,DeletionFlag,298,DeletionFlag,300,1,32,aliceblue
33,,VendorAccountGroup,298,VendorAccountGroup,300,1,33,aliceblue
34,,VendorText,298,VendorText,300,1,34,aliceblue
35,,VendorAccGrpText,298,VendorAccGrpText,300,1,35,aliceblue
36,,TXTSH,38,VendorCountryText,301,1,36,aliceblue
37,,SPRAS,38,SPRAS,301,1,37,aliceblue
38,,LAND1,38,LAND1,301,1,38,aliceblue
39,,VendorCountry,300,VendorCountry,302,1,39,aliceblue
40,,LAND1,301,VendorCountry,302,1,40,aliceblue
41,,VendorNO,300,VendorNO,302,1,41,aliceblue
42,,CreatedBy,300,CreatedBy,302,1,42,aliceblue
43,,DeletionFlag,300,DeletionFlag,302,1,43,aliceblue
44,,VendorAccountGroup,300,VendorAccountGroup,302,1,44,aliceblue
45,,VendorText,300,VendorText,302,1,45,aliceblue
46,,VendorCompanyCode,300,VendorCompanyCode,302,1,46,aliceblue
47,,VendorAccGrpText,300,VendorAccGrpText,302,1,47,aliceblue
48,,VendorCountryText,301,VendorCountryText,302,1,48,aliceblue
49,,TXTMD,9,CompanyCodeText,303,1,49,aliceblue
50,,BUKRS,9,BUKRS,303,1,50,aliceblue
51,,LANGU,9,LANGU,303,1,51,aliceblue
52,,VendorNO,302,VendorNO,304,1,52,aliceblue
53,,CreatedBy,302,CreatedBy,304,1,53,aliceblue
54,,VendorCountry,302,VendorCountry,304,1,54,aliceblue
55,,DeletionFlag,302,DeletionFlag,304,1,55,aliceblue
56,,VendorAccountGroup,302,VendorAccountGroup,304,1,56,aliceblue
57,,VendorText,302,VendorText,304,1,57,aliceblue
58,,VendorCompanyCode,302,VendorCompanyCode,304,1,58,aliceblue
59,,VendorAccGrpText,302,VendorAccGrpText,304,1,59,aliceblue
60,,VendorCountryText,302,VendorCountryText,304,1,60,aliceblue
61,,CompanyCodeText,303,CompanyCodeText,304,1,61,aliceblue
62,,BUKRS,303,VendorCompanyCode,304,1,62,aliceblue
63,,VendorNO,304,VendorNO,305,1,63,aliceblue
64,,CreatedBy,304,CreatedBy,305,1,64,aliceblue
65,,VendorCountry,304,VendorCountry,305,1,65,aliceblue
66,,DeletionFlag,304,DeletionFlag,305,1,66,aliceblue
67,,VendorAccountGroup,304,VendorAccountGroup,305,1,67,aliceblue
68,,VendorText,304,VendorText,305,1,68,aliceblue
69,,VendorCompanyCode,304,VendorCompanyCode,305,1,69,aliceblue
70,,VendorAccGrpText,304,VendorAccGrpText,305,1,70,aliceblue
71,,VendorCountryText,304,VendorCountryText,305,1,71,aliceblue
72,,CompanyCodeText,304,CompanyCodeText,305,1,72,aliceblue
